Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,Alzheimer's disease,has_biomarker,Biomarker,t-tau,阿尔茨海默病患者的t-tau水平较高
Protein,NfL,found_in,Brain_Region,large-caliber axons,NfL蛋白主要存在于大脑中的大直径轴突
Disease,Alzheimer's disease,has_biomarker,Biomarker,Ab 1-42/1-40 ratio,阿尔茨海默病患者的Ab 1-42/1-40比值较低
Biomarker,CSF biomarker change,predicts,Clinical_Manifestation,clinical progression,脑脊液生物标志物变化可预测临床进展
Disease,Alzheimer's disease,has_biomarker,Biomarker,neurofilament light,阿尔茨海默病的生物标志物包括神经丝轻链
Disease,Alzheimer's disease,has_biomarker,Biomarker,amyloid-beta,阿尔茨海默病的生物标志物包括淀粉样蛋白
Disease,Alzheimer's disease,has_biomarker,Biomarker,t-tau,阿尔茨海默病与t-tau生物标志物水平变化相关
Disease,MCI,has_biomarker,Biomarker,Ab 1-42,MCI患者的Ab 1-42水平较低
Gene,APOE ε4,affects,Biomarker,Ab 1-42/1-40 ratio,APOE ε4阳性患者的Ab 1-42/1-40比值较低
Disease,Alzheimer's disease,has_biomarker,Biomarker,YKL-40,阿尔茨海默病与YKL-40生物标志物水平变化相关
Disease,Alzheimer's disease,has_stage,Clinical_Stage,dementia stage,阿尔茨海默病包括痴呆阶段
Protein,tau,expressed_in,Brain_Region,cortical brain regions,tau蛋白主要在皮质脑区表达
Disease,Alzheimer's disease,has_biomarker,Biomarker,p-tau,阿尔茨海默病患者的p-tau水平较高
Biomarker,CSF biomarker change,affects,Treatment,disease-modifying drugs,脑脊液生物标志物变化影响疾病修饰药物的效果
Disease,MCI,has_biomarker,Biomarker,p-tau,MCI患者的p-tau水平较高
Biomarker,amyloid-beta,reflects,Pathological_Change,neuropathological hallmarks,淀粉样蛋白反映了阿尔茨海默病的主要神经病理学特征
Risk_Factor,age,affects,Biomarker,p-tau,年龄增长与p-tau水平升高相关
Disease,Alzheimer's disease,has_biomarker,Biomarker,YKL-40,阿尔茨海默病的生物标志物包括YKL-40
Biomarker,p-tau,changes_with,Clinical_Stage,age-related changes,p-tau生物标志物水平随年龄变化
Gene,APOE,influences,Risk_Factor,Alzheimer's disease,APOE基因影响阿尔茨海默病的风险
Disease,Alzheimer's disease,has_stage,Clinical_Stage,prodromal stage,阿尔茨海默病包括前驱阶段
Disease,Alzheimer's disease,has_biomarker,Biomarker,p-tau,阿尔茨海默病与p-tau生物标志物水平变化相关
Biomarker,neurofilament light,indicates,Pathological_Change,axonal damage,神经丝轻链水平升高指示轴突损伤
Research_Method,clinical trials,studies,Biomarker,CSF biomarker change,临床试验用于研究脑脊液生物标志物变化
Biomarker,NfL,changes_with,Clinical_Stage,age-related changes,神经丝轻链(NfL)生物标志物水平随年龄变化
Risk_Factor,age,affects,Biomarker,NfL,年龄增长与NfL水平升高相关
Disease,MCI,has_biomarker,Biomarker,YKL-40,MCI患者的YKL-40水平较高
Biomarker,t-tau,reflects,Pathological_Change,neuropathological hallmarks,总tau蛋白反映了阿尔茨海默病的主要神经病理学特征
Biomarker,YKL-40,changes_with,Clinical_Stage,age-related changes,YKL-40生物标志物水平随年龄变化
Gene,APOE ε4,affects,Biomarker,p-tau,APOE ε4阳性患者的p-tau水平较高
Gene,APOE ε4,affects,Biomarker,Ab 1-42,APOE ε4阳性患者的Ab 1-42水平较低
