Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Treatment,tacrine,inhibits,Protein,butyrylcholinesterase,他克林抑制丁酰胆碱酯酶
Treatment,tacrine,inhibits,Protein,acetylcholinesterase,他克林抑制乙酰胆碱酯酶
Treatment,galantamine,treats,Disease,Alzheimer's disease,加兰他敏是治疗阿尔茨海默病的药物
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Disease,Alzheimer's disease,treated_by,Treatment,rivastigmine,利斯的明用于治疗阿尔茨海默病
Treatment,rivastigmine,inhibits,Protein,butyrylcholinesterase,利斯的明抑制丁酰胆碱酯酶
Treatment,galantamine,modulates,Protein,nicotinic acetylcholine receptors,加兰他敏调节烟碱型乙酰胆碱受体
Research_Method,in vitro studies,studies,Treatment,ChE inhibitors,体外研究用于评估胆碱酯酶抑制剂的效果
Symptom,cognitive decline,caused_by,Pathological_Change,neurofibrillary tangles,认知衰退由神经纤维缠结引起
Gene,BCHE,encodes,Protein,butyrylcholinesterase,BCHE基因编码丁酰胆碱酯酶
Protein,acetylcholine,decreases_in,Disease,Alzheimer's disease,阿尔茨海默病患者乙酰胆碱水平下降
Treatment,donepezil,reduces,Pathological_Change,amyloid-beta deposition,多奈哌齐减少淀粉样蛋白沉积
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,neurodegeneration,阿尔茨海默病伴随神经退行性病变
Treatment,rivastigmine,treats,Disease,Alzheimer's disease,利斯的明是治疗阿尔茨海默病的药物
Protein,PI3K/AKT,regulates,Pathological_Change,neuronal death,PI3K/AKT通路调节神经元死亡
Protein,tau,accumulates_in,Brain_Region,brain,tau蛋白在大脑中异常堆积
Treatment,tacrine-like hybrids,developed_for,Disease,Alzheimer's disease,他克林类似物被开发用于治疗阿尔茨海默病
Treatment,MTDL drugs,developed_for,Disease,Alzheimer's disease,多靶点配体药物被开发用于治疗阿尔茨海默病
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,tau hyperphosphorylation,阿尔茨海默病与tau蛋白过度磷酸化相关
Treatment,cholinesterase inhibitors,treats,Disease,Alzheimer's disease,胆碱酯酶抑制剂是阿尔茨海默病的主要治疗方法
Pathological_Change,neuritic plaques,caused_by,Protein,amyloid-beta,神经炎斑由淀粉样蛋白堆积引起
Protein,acetylcholinesterase,hydrolyzes,Protein,acetylcholine,乙酰胆碱酯酶水解乙酰胆碱
Treatment,galantamine,inhibits,Protein,acetylcholinesterase,加兰他敏抑制乙酰胆碱酯酶
Gene,ACHE,encodes,Protein,acetylcholinesterase,ACHE基因编码乙酰胆碱酯酶
Protein,tau,forms,Pathological_Change,neurofibrillary tangles,tau蛋白过度磷酸化导致神经纤维缠结形成
Protein,GSK-3β,phosphorylates,Protein,tau,GSK-3β负责tau蛋白的磷酸化
Treatment,AZD1080,inhibits,Protein,GSK-3β,AZD1080抑制GSK-3β活性并减少tau磷酸化
Treatment,ABT-126,antagonizes,Protein,α7-nAChR,ABT-126作为α7-nAChR拮抗剂
Protein,butyrylcholinesterase,interacts_with,Protein,amyloid-beta,丁酰胆碱酯酶与淀粉样蛋白相互作用
Pathological_Change,neurofibrillary tangles,caused_by,Protein,tau,神经纤维缠结由tau蛋白堆积引起
Treatment,tacrine,has_side_effect,Symptom,hepatotoxicity,他克林可能引起肝毒性
Disease,Alzheimer's disease,has_stage,Clinical_Stage,AD dementia,阿尔茨海默病发展至痴呆阶段
Protein,mTOR,regulates,Pathological_Change,autophagy,mTOR调节自噬过程
Symptom,cognitive decline,caused_by,Pathological_Change,neuritic plaques,认知衰退由神经炎斑引起
Treatment,rivastigmine,has_side_effect,Symptom,gastrointestinal side effects,利斯的明可能引起胃肠道副作用
Treatment,donepezil,inhibits,Protein,GSK-3β,多奈哌齐通过抑制GSK-3β活性发挥神经保护作用
Treatment,tacrine,treats,Disease,Alzheimer's disease,他克林是治疗阿尔茨海默病的药物
Treatment,donepezil,improves,Clinical_Manifestation,cognitive function,多奈哌齐改善阿尔茨海默病患者的认知功能
Protein,PI3K/AKT,regulates,Pathological_Change,tau hyperphosphorylation,PI3K/AKT通路调节tau蛋白磷酸化
Protein,NMDA receptors,inhibited_by,Treatment,ChE inhibitors,胆碱酯酶抑制剂可抑制NMDA受体活性
Treatment,DL0410,activates,Protein,AKT/GSK-3β,DL0410激活AKT/GSK-3β信号通路
Protein,NRF2,regulates,Pathological_Change,oxidative stress,NRF2调节氧化应激反应
Treatment,donepezil,has_side_effect,Symptom,gastrointestinal side effects,多奈哌齐可能引起胃肠道副作用
Treatment,ChE inhibitors,has_effect,Clinical_Manifestation,neuroprotection,胆碱酯酶抑制剂具有神经保护作用
Treatment,rivastigmine,inhibits,Protein,acetylcholinesterase,利斯的明抑制乙酰胆碱酯酶
Treatment,donepezil,inhibits,Protein,acetylcholinesterase,多奈哌齐抑制乙酰胆碱酯酶
Disease,Alzheimer's disease,treated_by,Treatment,galantamine,加兰他敏用于治疗阿尔茨海默病
Treatment,ChE inhibitors,affects,Pathway,PI3K/AKT pathway,胆碱酯酶抑制剂影响PI3K/AKT信号通路
Protein,amyloid-beta,aggregates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常聚集
Protein,HDAC,inhibited_by,Treatment,ChE inhibitors,胆碱酯酶抑制剂可抑制HDAC活性
Disease,Alzheimer's disease,has_stage,Clinical_Stage,mild cognitive impairment,阿尔茨海默病从轻度认知障碍开始发展
Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐是治疗阿尔茨海默病的药物
Pathway,PI3K/AKT pathway,implicated_in,Disease,Alzheimer's disease,PI3K/AKT信号通路与阿尔茨海默病病理相关
Treatment,acetylcholinesterase inhibitors,targets,Protein,acetylcholinesterase,乙酰胆碱酯酶抑制剂靶向乙酰胆碱酯酶
Treatment,galantamine,has_side_effect,Symptom,gastrointestinal side effects,加兰他敏可能引起胃肠道副作用
Treatment,EVP-6124,activates,Protein,α7-nAChR,EVP-6124作为α7-nAChR部分激动剂
Treatment,NP031112,inhibits,Protein,GSK-3β,NP031112抑制GSK-3β活性
Protein,PI3K/AKT,regulates,Pathological_Change,amyloid-beta aggregation,PI3K/AKT通路调节淀粉样蛋白聚集
Research_Method,in vivo studies,studies,Treatment,ChE inhibitors,体内研究用于评估胆碱酯酶抑制剂的效果
Treatment,donepezil derivatives,developed_for,Disease,Alzheimer's disease,多奈哌齐衍生物被开发用于治疗阿尔茨海默病
Treatment,ChE inhibitors,has_effect,Clinical_Manifestation,cognitive improvement,胆碱酯酶抑制剂可改善认知功能
Protein,mTOR,regulates,Pathological_Change,Aβ clearance,mTOR调节淀粉样蛋白清除
Disease,Alzheimer's disease,treated_by,Treatment,donepezil,多奈哌齐用于治疗阿尔茨海默病
Treatment,tacrine,discontinued_due_to,Risk_Factor,hepatotoxicity,他克林因肝毒性于2013年停用
Protein,acetylcholinesterase,interacts_with,Protein,amyloid-beta,乙酰胆碱酯酶与淀粉样蛋白相互作用
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,amyloid-beta aggregation,阿尔茨海默病与淀粉样蛋白异常堆积相关
Protein,BACE1,inhibited_by,Treatment,ChE inhibitors,胆碱酯酶抑制剂可抑制BACE1活性
