Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Clinical_Test,Y-maze,evaluates,Clinical_Manifestation,spatial working memory,Y迷宫测试用于评估空间工作记忆
Risk_Factor,neuro-inflammation,contributes_to,Pathological_Change,loss of neurons and synapses,神经炎症是神经元和突触丢失的关键因素
Clinical_Test,AST,measures,Biomarker,liver function,AST用于评估肝功能
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,senile plaques,阿尔茨海默病的病理特征之一是老年斑的形成
Gene,APP,has_mutation,Risk_Factor,London mutation,APP基因的伦敦突变是阿尔茨海默病的风险因素
Clinical_Test,ALT,measures,Biomarker,liver function,ALT用于评估肝功能
Imaging_Method,injection,delivers_to,Brain_Region,hippocampus,注射方法用于将药物递送至海马体
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Protein,tau,has_pathological_change,Pathological_Change,hyperphosphorylation,tau蛋白的过度磷酸化是阿尔茨海默病的病理特征
Treatment,clioquinol,compares_with,Treatment,TDMQ20,氯碘羟喹与TDMQ20在治疗阿尔茨海默病中的效果比较
Clinical_Test,urea,measures,Biomarker,kidney function,尿素用于评估肾功能
<Disease,Alzheimer's disease,evaluated_by,Clinical_Test,Y-maze test,阿尔茨海默病通过Y迷宫测试进行评估>
<Disease,Alzheimer's disease,associated_with,Biomarker,creatinine,阿尔茨海默病与肌酐生物标志物相关>
<Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病表现为记忆力丧失>
<Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,spatial memory impairment,阿尔茨海默病表现为空间记忆障碍>
<Disease,Alzheimer's disease,treated_with,Treatment,TDMQ20,阿尔茨海默病使用TDMQ20治疗>
Gene,APPSwFlLon,associated_with,Disease,Alzheimer's disease,APPSwFlLon基因与阿尔茨海默病相关
Gene,APP,has_mutation,Risk_Factor,Florida mutation,APP基因的佛罗里达突变是阿尔茨海默病的风险因素
<Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病影响海马体>
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病的主要症状是记忆力丧失
Clinical_Test,elevated plus maze,evaluates,Clinical_Manifestation,anxiety response,高架十字迷宫测试用于评估焦虑反应
<Disease,Alzheimer's disease,treated_with,Treatment,clioquinol,阿尔茨海默病使用氯碘羟喹治疗>
Clinical_Stage,early stage,associated_with,Disease,Alzheimer's disease,早期阶段与阿尔茨海默病相关
Treatment,TDMQ20,reduces,Biomarker,MDA,TDMQ20降低大脑皮层中的MDA水平
Clinical_Test,open field test,evaluates,Clinical_Manifestation,locomotor activity,旷场测试用于评估运动能力
Research_Method,icv-CuAβ model,mimics,Clinical_Stage,early stage AD,icv-CuAβ模型模拟阿尔茨海默病的早期阶段
Research_Method,TBARS assay,measures,Biomarker,MDA,TBARS测定法用于测量MDA水平
Treatment,TDMQ20,reduces,Symptom,memory impairment,TDMQ20能够改善阿尔茨海默病小鼠的记忆损伤
Brain_Region,hippocampus,involved_in,Clinical_Manifestation,spatial memory,海马体与空间记忆相关
Gene,APP,has_mutation,Risk_Factor,Swedish mutation,APP基因的瑞典突变是阿尔茨海默病的风险因素
<Disease,Alzheimer's disease,associated_with,Biomarker,malondialdehyde,阿尔茨海默病与丙二醛生物标志物相关>
Protein,copper-amyloid complex,triggers,Pathological_Change,oxidative stress,铜-淀粉样蛋白复合物催化氧化应激
Clinical_Test,creatinine,measures,Biomarker,kidney function,肌酐用于评估肾功能
Brain_Region,hippocampus,involved_in,Clinical_Manifestation,declarative memory,海马体与陈述性记忆相关
Treatment,TDMQ20,reduces,Pathological_Change,oxidative stress,TDMQ20能够减少小鼠大脑皮层的氧化应激
Research_Method,5XFAD model,mimics,Clinical_Stage,advanced stage AD,5XFAD模型模拟阿尔茨海默病的晚期阶段
Clinical_Test,NOR,evaluates,Clinical_Manifestation,memory function,新物体识别测试用于评估记忆功能
Clinical_Test,NOR,evaluates,Clinical_Manifestation,short-term memory,新物体识别测试用于评估短期记忆
<Disease,Alzheimer's disease,associated_with,Biomarker,urea,阿尔茨海默病与尿素生物标志物相关>
<Disease,Alzheimer's disease,affects,Brain_Region,cortex,阿尔茨海默病影响大脑皮层>
Gene,PSEN1,has_mutation,Risk_Factor,L286V,PSEN1基因的L286V突变是阿尔茨海默病的风险因素
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,neurofibrillary tangles,阿尔茨海默病的病理特征之一是神经纤维缠结
Protein,amyloid-beta,interacts_with,Protein,copper,淀粉样蛋白与铜相互作用
<Disease,Alzheimer's disease,evaluated_by,Clinical_Test,elevated plus maze test,阿尔茨海默病通过高架十字迷宫测试进行评估>
<Disease,Alzheimer's disease,associated_with,Biomarker,AST,阿尔茨海默病与AST生物标志物相关>
Research_Method,hippo-CuAβ model,mimics,Clinical_Stage,early stage AD,hippo-CuAβ模型模拟阿尔茨海默病的早期阶段
<Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,locomotion impairment,阿尔茨海默病表现为运动能力下降>
Biomarker,MDA,indicates,Pathological_Change,lipid injuries,MDA水平指示脂质损伤的病理变化
Risk_Factor,CYP 2D6 inhibition,affects,Treatment,drug metabolism,CYP 2D6抑制影响药物代谢
Gene,PSEN1,has_mutation,Risk_Factor,M146L,PSEN1基因的M146L突变是阿尔茨海默病的风险因素
<Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,anxiety,阿尔茨海默病表现为焦虑>
