Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Risk_Factor,early reduction of TH+ fibre density,increases_risk_of,Disease,Alzheimer's disease,TH+纤维密度早期减少增加阿尔茨海默病的风险
Disease,Alzheimer's disease,affects,Brain_Region,ventral hippocampus,阿尔茨海默病影响腹侧海马体
Clinical_Test,f-I relationships,evaluates,Clinical_Manifestation,evoked firing,f-I关系评估诱发放电的临床表现
Clinical_Test,TH+ fibre density measurement,detects,Pathological_Change,early reduction of TH+ fibre density,TH+纤维密度测量检测TH+纤维密度早期减少的病理变化
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Research_Method,computational analysis,reveals,Pathological_Change,increased peak conductance for K Ca channels,计算分析揭示了K Ca通道峰值电导增加的病理变化
Research_Method,computational analysis,reveals,Pathological_Change,depolarization block,计算分析揭示了去极化阻滞的病理变化
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,depolarization block,阿尔茨海默病表现为去极化阻滞
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,impaired synaptic plasticity,阿尔茨海默病表现为突触可塑性受损
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查评估认知功能
Protein,tyrosine hydroxylase,reduced_in,Brain_Region,ventral CA1,腹侧CA1区域的酪氨酸羟化酶水平降低
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,reduced excitability,阿尔茨海默病表现为兴奋性降低
Clinical_Test,mAHP analysis,evaluates,Clinical_Manifestation,potentiation of mAHP,mAHP分析评估mAHP增强的临床表现
Biomarker,amyloid β,accumulates_in,Brain_Region,brain,淀粉样蛋白β在大脑中异常堆积
Imaging_Method,MRI,detects,Pathological_Change,brain atrophy,核磁共振检测脑萎缩
Risk_Factor,brain,increases_risk_of,Disease,Alzheimer's disease,大脑增加阿尔茨海默病的风险
Treatment,L-DOPA,restores,Clinical_Manifestation,functional deficits,L-DOPA治疗可以恢复功能缺陷
Clinical_Stage,prodromal stage,characterized_by,Pathological_Change,cell excitability impairment,前驱期特征为细胞兴奋性受损
Risk_Factor,synaptic potentiation,increases_risk_of,Disease,Alzheimer's disease,突触增强增加阿尔茨海默病的风险
Disease,Alzheimer's disease,affects,Brain_Region,ventral CA1,阿尔茨海默病影响腹侧CA1脑区
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,altered firing,阿尔茨海默病表现为放电模式改变
Clinical_Test,neuroTrace/Streptavidin double-labelling,detects,Pathological_Change,CA1 pyramidal neurons,神经追踪/链霉亲和素双标记检测CA1锥体神经元的病理变化
Risk_Factor,ventral hippocampus,increases_risk_of,Disease,Alzheimer's disease,腹侧海马体增加阿尔茨海默病的风险
Protein,TH,decreases_in,Brain_Region,ventral CA1,TH蛋白在腹侧CA1脑区减少
Risk_Factor,altered excitability,increases_risk_of,Disease,Alzheimer's disease,兴奋性改变增加阿尔茨海默病的风险
Research_Method,computational analysis,models,Pathological_Change,early derailments,计算分析用于模拟早期神经元功能异常
Risk_Factor,apical dendrite branching,increases_risk_of,Disease,Alzheimer's disease,顶树突分支增加阿尔茨海默病的风险
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查用于评估认知功能
Clinical_Test,Sholl analysis,evaluates,Pathological_Change,apical dendrite branching,Sholl分析用于评估顶树突分支的病理变化
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会影响海马体区域
Pathological_Change,brain atrophy,observed_in,Disease,Alzheimer's disease,脑萎缩是阿尔茨海默病的病理改变之一
Brain_Region,ventral hippocampus,affected_by,Disease,Alzheimer's disease,腹侧海马体在阿尔茨海默病中受到影响
Disease,Alzheimer's disease,affects,Brain_Region,dorsal dentate gyrus,阿尔茨海默病影响背侧齿状回
Clinical_Test,rheobase measurement,evaluates,Clinical_Manifestation,altered excitability,基强度测量评估兴奋性改变的临床表现
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,cognitive decline,阿尔茨海默病的主要症状是认知功能下降
Risk_Factor,evoked firing,increases_risk_of,Disease,Alzheimer's disease,诱发放电增加阿尔茨海默病的风险
Brain_Region,dorsal hippocampus,affected_by,Disease,Alzheimer's disease,背侧海马体在阿尔茨海默病中受到影响
Risk_Factor,CA1 pyramidal neurons,increases_risk_of,Disease,Alzheimer's disease,CA1锥体神经元增加阿尔茨海默病的风险
Research_Method,patch-clamp,studies,Pathological_Change,neuronal excitability,膜片钳技术用于研究神经元兴奋性
Disease,Alzheimer's disease,affects,Brain_Region,CA1,阿尔茨海默病影响CA1脑区
Disease,Alzheimer's disease,affects,Brain_Region,VTA,阿尔茨海默病影响腹侧被盖区
Gene,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因增加阿尔茨海默病风险
Clinical_Test,fEPSP,evaluates,Clinical_Manifestation,synaptic potentiation,fEPSP评估突触增强的临床表现
Protein,dopamine,decreased_in,Brain_Region,Ventral Tegmental Area,腹侧被盖区的多巴胺水平降低
Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐治疗阿尔茨海默病
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病表现为记忆力丧失
Gene,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因增加阿尔茨海默病的风险
Risk_Factor,aging,increases_risk_of,Disease,Alzheimer's disease,衰老增加阿尔茨海默病的风险
Risk_Factor,depolarization block,increases_risk_of,Disease,Alzheimer's disease,去极化阻滞增加阿尔茨海默病的风险
Risk_Factor,potentiation of mAHP,increases_risk_of,Disease,Alzheimer's disease,mAHP增强增加阿尔茨海默病的风险
Disease,Alzheimer's disease,affects,Brain_Region,CA3-CA1 synapse,阿尔茨海默病影响CA3-CA1突触
Disease,Alzheimer's disease,affects,Brain_Region,dorsal hippocampus,阿尔茨海默病影响背侧海马体
Risk_Factor,increased peak conductance for K Ca channels,increases_risk_of,Disease,Alzheimer's disease,K Ca通道峰值电导增加增加阿尔茨海默病的风险
Risk_Factor,amyloid-beta,increases_risk_of,Disease,Alzheimer's disease,淀粉样蛋白增加阿尔茨海默病的风险
Imaging_Method,MRI,detects,Pathological_Change,brain atrophy,核磁共振可以检测到脑萎缩情况
Risk_Factor,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因增加阿尔茨海默病的风险
