Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,cognitive decline,阿尔茨海默病与认知功能下降相关
Disease,Alzheimer's disease,has_research_method,Research_Method,dopamine-transporter scan,阿尔茨海默病与多巴胺转运体扫描相关
Protein,CysC,secreted_by,Brain_Region,neurons,CysC由神经元分泌
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Imaging_Method,dopamine-transporter scan,detects,Pathological_Change,dopamine system,多巴胺转运体扫描检测多巴胺系统变化
Disease,Alzheimer's disease,has_research_method,Research_Method,plasma EVs analysis,阿尔茨海默病与血浆细胞外囊泡分析相关
Clinical_Test,18-FDG PET,diagnoses,Disease,Alzheimer's disease,18-FDG PET用于诊断阿尔茨海默病
Imaging_Method,18-FDG PET,detects,Pathological_Change,brain metabolism,18-FDG PET检测脑代谢变化
Disease,Alzheimer's disease,has_biomarker,Biomarker,Aβ,阿尔茨海默病患者的血液EVs中Aβ水平增加
Disease,Alzheimer's disease,has_biomarker,Biomarker,EVs concentration/size ratio,EVs浓度/大小比率可用于区分阿尔茨海默病患者与对照组
Gene,progranulin,associated_with,Disease,Alzheimer's disease,progranulin基因与阿尔茨海默病相关
Biomarker,EVs size,associated_with,Disease,Alzheimer's disease,EVs大小与阿尔茨海默病相关
Disease,Alzheimer's disease,has_biomarker,Biomarker,early biomarkers,阿尔茨海默病中血浆EVs可作为早期生物标志物
Disease,Alzheimer's disease,has_biomarker,Biomarker,CSF EVs,阿尔茨海默病患者的脑脊液EVs水平增加
Biomarker,CysC levels,associated_with,Disease,Alzheimer's disease,CysC水平与阿尔茨海默病相关
Disease,Alzheimer's disease,has_biomarker,Biomarker,CysC,阿尔茨海默病患者的血浆CysC水平与EVs浓度相关
Protein,tau,accumulates_in,Brain_Region,brain,tau蛋白在大脑中异常堆积
Disease,Alzheimer's disease,has_biomarker,Biomarker,progranulin,阿尔茨海默病与progranulin水平的改变相关
Disease,Alzheimer's disease,has_biomarker,Biomarker,extracellular vesicles,阿尔茨海默病与细胞外囊泡的改变相关
