Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,Alzheimer's disease,affects,Brain_Region,transentorhinal region,阿尔茨海默病影响内嗅皮层区域
Risk_Factor,AMPA receptor activation,increases,Protein,tau release,AMPA受体激活增加tau蛋白释放
Risk_Factor,P301S mice,has_increased,Protein,tau spread,P301S小鼠的tau传播增加
<Biomarker,YKL-40,elevated_in,Clinical_Test,cerebrospinal fluid,YKL-40在AD和其他tau病变患者的脑脊液中升高>
Risk_Factor,tau injection,causes,Clinical_Manifestation,tau pathology transmission,tau注射导致tau病理传播
<Research_Method,3D culture,detects,Pathological_Change,phosphorylated tau aggregates,3D培养中可检测到磷酸化tau的银阳性聚集体>
<Protein,C1q,accumulates_in,Brain_Region,postsynaptic density,C1q蛋白在P301S小鼠和AD患者的突触后密度中积累>
<Imaging_Method,tau PET,associated_with,Clinical_Manifestation,mild cognitive impairment,tau PET成像显示新皮质中tau沉积与轻度认知障碍相关>
Protein,tau,aggregates_in,Brain_Region,basal ganglia,tau蛋白在基底神经节中聚集
Disease,Alzheimer's disease,characterized_by,Pathological_Change,amyloid plaques,阿尔茨海默病以淀粉样斑块为特征
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,tau aggregation,阿尔茨海默病与tau蛋白聚集的病理改变相关
Risk_Factor,tau injection,causes,Clinical_Manifestation,phospho-tau spread,tau注射导致磷酸化tau扩散
Protein,tau,associated_with,Pathological_Change,dendritic loss,tau蛋白与树突损失相关
<Protein,tau,forms,Pathological_Change,distinct strains,tau蛋白形成多种不同的结构>
Risk_Factor,excitatory neuron loss,causes,Clinical_Manifestation,spatial memory loss,兴奋性神经元丢失导致空间记忆丧失
Protein,tau,affects,Clinical_Manifestation,long-term synaptic plasticity,tau蛋白影响长期突触可塑性
Protein,tau,associated_with,Pathological_Change,tau mislocalization,tau蛋白与错误定位相关
Risk_Factor,tau injection,causes,Clinical_Manifestation,tau fibril seeding,tau注射导致tau纤维种子形成
Risk_Factor,tau injection,causes,Clinical_Manifestation,tau propagation,tau注射导致tau传播
Protein,tau,is_stabilized_by,Protein,Hsp90,Hsp90在病理状态下促进tau蛋白的稳定性
Risk_Factor,tau injection,causes,Clinical_Manifestation,tau uptake,tau注射导致tau摄取
Risk_Factor,tau injection,causes,Clinical_Manifestation,tau pathology release,tau注射导致tau病理释放
Risk_Factor,high KCl,increases,Protein,tau release,高钾刺激增加tau蛋白释放
<Research_Method,3D culture,expresses,Protein,4R adult tau isoforms,3D培养显著增加4R成年tau异构体的表达>
Risk_Factor,tau injection,causes,Clinical_Manifestation,tau release,tau注射导致tau释放
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory deficits,阿尔茨海默病表现为记忆缺陷
Protein,tau,spreads_via,Research_Method,synaptic release,tau蛋白通过突触释放机制传播
Protein,tau,is_phosphorylated,Protein,phosphorylation,tau蛋白的磷酸化促进其聚集
Protein,tau,aggregates_in,Brain_Region,thalamus,tau蛋白在丘脑中聚集
<Protein,tau,alternative_splicing_yields,Protein,six isoforms,tau蛋白的N端和微管结合结构域的可变剪接产生六种异构体>
Protein,tau,affects,Clinical_Manifestation,AMPA receptor trafficking,tau蛋白影响AMPA受体运输
<Protein,tau,activates,Pathological_Change,NLRP3-ASC inflammasome,聚集的tau通过小胶质细胞摄取和溶酶体分选激活NLRP3-ASC炎症小体>
Protein,tau,spreads_to,Brain_Region,CA3,tau蛋白从内嗅皮层扩散至CA3区
Risk_Factor,tau injection,causes,Clinical_Manifestation,tau phosphorylation,tau注射导致tau磷酸化
Risk_Factor,tau injection,causes,Clinical_Manifestation,tau pathology spread,tau注射导致tau病理扩散
Protein,tau,spreads_to,Brain_Region,CA1,tau蛋白从内嗅皮层扩散至CA1区
Risk_Factor,HSPGs,facilitates,Protein,tau secretion,HSPGs促进tau蛋白的非经典分泌
