Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
<Protein,Bin1,regulates,Pathological_Change,surface expression of GluA1,Bin1蛋白调节GluA1的表面表达>
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Protein,BIN1,colocalizes_with,Protein,GluA1,BIN1蛋白与GluA1蛋白共定位
<Protein,Bin1,affects,Pathological_Change,AMPA-mediated currents,Bin1蛋白质影响AMPA介导的电流>
<Clinical_Test,FRAP,measures,Pathological_Change,fluorescence recovery,FRAP实验用于测量荧光恢复>
<Protein,GluA1,is_part_of,Protein,AMPAR,GluA1是AMPAR的亚单位>
Protein,BIN1,affects,Pathological_Change,AMPA receptor trafficking,BIN1蛋白影响AMPA受体的运输
Protein,BIN1,regulates,Protein,Rab11,BIN1蛋白调节Rab11蛋白的功能
<Protein,Bin1,regulates,Pathological_Change,dendritic spine morphology,Bin1蛋白调节树突棘形态>
Protein,BIN1,regulates,Protein,GluA1 exocytic trafficking,BIN1蛋白调节GluA1的外泌运输
<Disease,Alzheimer's disease,has_risk_factor,Gene,Bin1,Bin1基因是阿尔茨海默病的风险因素>
<Research_Method,FRAP,analyzes,Pathological_Change,exocytosis of GluA1,FRAP方法用于分析GluA1的外排作用>
Protein,BIN1,affects,Pathological_Change,spine density,BIN1蛋白影响树突棘的密度
<Imaging_Method,SIM,visualizes,Pathological_Change,spatial architecture of postsynaptic trafficking,SIM成像方法用于可视化突触后运输的空间结构>
Protein,BIN1,regulates,Protein,Arf6 GTPase activity,BIN1蛋白调节Arf6 GTPase活性
Protein,BIN1,interacts_with,Protein,GluA1,BIN1蛋白与GluA1蛋白相互作用
Protein,BIN1,affects,Pathological_Change,AMPA receptor-mediated synaptic transmission,BIN1蛋白影响AMPA受体介导的突触传递
<Gene,BIN1,associated_with,Disease,LOAD,BIN1基因与晚发性阿尔茨海默病(LOAD)相关>
<Protein,Bin1,affects,Pathological_Change,Arf6 activity,Bin1蛋白质影响Arf6的活性>
Protein,BIN1,regulates,Protein,Arf6,BIN1蛋白调节Arf6蛋白的功能
<Protein,Bin1,interacts_with,Protein,EHBP1L1,Bin1蛋白质与EHBP1L1蛋白质相互作用>
<Research_Method,SIM,provides_insight_into,Pathological_Change,postsynaptic trafficking,SIM方法提供了对突触后运输的定量洞察>
Protein,BIN1,colocalizes_with,Protein,Arf6,BIN1蛋白与Arf6蛋白共定位
<Protein,Bin1,regulates,Pathological_Change,glutamatergic neurotransmission,Bin1蛋白调节谷氨酸能神经传递>
Protein,BIN1,affects,Pathological_Change,spine morphology,BIN1蛋白影响树突棘的形态
<Protein,Bin1,interacts_with,Protein,Arf6,Bin1蛋白质与Arf6蛋白质相互作用>
Gene,BIN1,increases_risk_of,Disease,late-onset Alzheimer's disease,BIN1基因是晚发性阿尔茨海默病的重要风险因素
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查用于评估认知功能
<Protein,Bin1,interacts_with,Protein,EHD1,Bin1蛋白质与EHD1蛋白质相互作用>
<Protein,Bin1,affects,Pathological_Change,spine protein levels,Bin1蛋白质影响树突棘蛋白质水平>
<Protein,Arf6,is_involved_in,Pathological_Change,recycling endosomes in spines,Arf6参与树突棘中的回收内体>
<Protein,Bin1,affects,Pathological_Change,glutamatergic neurotransmission,Bin1蛋白质影响谷氨酸能神经传递>
<Protein,Bin1,regulates,Pathological_Change,AMPA receptor trafficking,Bin1蛋白质调节AMPA受体的运输>
Protein,BIN1,affects,Pathological_Change,spine area,BIN1蛋白影响树突棘的面积
<Protein,Bin1,interacts_with,Protein,Arf6,Bin1蛋白与Arf6蛋白相互作用>
<Protein,Bin1,affects,Pathological_Change,spine size,Bin1蛋白质影响树突棘的大小>
<Protein,Bin1,regulates,Pathological_Change,GluA1 exocytosis,Bin1蛋白质调节GluA1的胞吐作用>
Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐是治疗阿尔茨海默病的药物
Gene,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因是阿尔茨海默病的重要风险因素
<Protein,Bin1,affects,Pathological_Change,recycling exocytosis,Bin1蛋白质影响回收性胞吐作用>
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会导致海马体区域受损
<Protein,Bin1,localizes_to,Brain_Region,synaptic regions,Bin1蛋白质定位于突触区域>
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,记忆力丧失是阿尔茨海默病的主要症状
<Gene,BIN1,regulates,Protein,GluA1,BIN1基因调节GluA1蛋白质的表面表达>
Protein,BIN1,colocalizes_with,Protein,clathrin,BIN1蛋白与clathrin蛋白共定位
<Gene,BIN1,associated_with,Risk_Factor,LOAD risk,BIN1基因与LOAD风险相关>
Protein,BIN1,affects,Pathological_Change,synaptic transmission,BIN1蛋白影响突触传递
Imaging_Method,MRI,detects,Pathological_Change,brain atrophy,核磁共振可以检测到脑萎缩情况
<Protein,Bin1,interacts_with,Protein,GluA1,Bin1蛋白与GluA1蛋白相互作用>
