Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Protein,HSP90AA1,is_downregulated_in,Disease,Alzheimer's disease,HSP90AA1在阿尔茨海默病中表达下调
Protein,BAG3,expressed_in,Brain_Region,CA1 region,BAG3在CA1区域表达
Protein,GFAP,colocalizes_with,Protein,tau,GFAP与tau在CA1区域共定位
Pathological_Change,neuronal loss,occurs_in,Brain_Region,CA1 region,神经元损失主要发生在CA1区域
Protein,BAG3,is_related_to,Pathological_Change,neurodegeneration,BAG3与神经退行性变相关
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,executive dysfunction,阿尔茨海默病会导致执行功能障碍
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Protein,BAG3,activates,Pathological_Change,autophagy,BAG3通过激活自噬调节tau水平
Protein,HSP90AB1,interacts_with,Protein,tau,HSP90AB1与tau蛋白相互作用
Protein,HSP90AB1,is_downregulated_in,Disease,Alzheimer's disease,HSP90AB1在阿尔茨海默病中表达下调
Protein,Aβ,forms,Pathological_Change,plaques,Aβ形成斑块
Clinical_Test,WB,evaluates,Protein,BAG3,蛋白质印迹法评估BAG3表达
Protein,amyloid-beta,colocalizes_with,Protein,GFAP,淀粉样蛋白与GFAP在空间上共定位
Protein,BAG3,potential_therapeutic_target,Disease,Alzheimer's disease,BAG3上调表达被提议为阿尔茨海默病的治疗策略
Imaging_Method,confocal microscopy,detects,Pathological_Change,plaques,共聚焦显微镜检测斑块
Research_Method,SWATH-MS,identifies,Protein,protein alterations,SWATH-MS分析用于识别蛋白质变化
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会导致海马体体积减少
Protein,BAG3,upregulated_in,Brain_Region,hippocampus,BAG3在阿尔茨海默病海马体中表达上调
Protein,HSP90AB1,potential_therapeutic_target,Disease,Alzheimer's disease,HSP90AB1被提议为阿尔茨海默病的潜在治疗靶点
Protein,HSP90AB1,slows,Pathological_Change,Aβ aggregation,HSP90AB1减缓Aβ聚集
Clinical_Test,WB,evaluates,Protein,HSP90AA1,蛋白质印迹法评估HSP90AA1表达
Protein,HSP90AB1,inhibits,Pathological_Change,Aβ oligomerization,HSP90AB1抑制Aβ寡聚化
Clinical_Test,WB,evaluates,Protein,HSP90AB1,蛋白质印迹法评估HSP90AB1表达
Research_Method,PPI analysis,reveals,Protein,protein interactions,蛋白质相互作用分析揭示蛋白质相互作用
Protein,tau,colocalizes_with,Protein,GFAP,tau蛋白与GFAP在空间上共定位
Brain_Region,CA1,is_affected_by,Pathological_Change,astrogliosis,CA1区域星形胶质细胞增生是阿尔茨海默病的病理改变
Pathological_Change,hippocampal atrophy,is_related_to,Clinical_Stage,early stage,海马体萎缩与阿尔茨海默病的早期阶段相关
Protein,tau,colocalizes_with,Brain_Region,CA1 region,tau蛋白在CA1区域与星形胶质细胞共定位
Disease,Alzheimer's disease,affects,Brain_Region,CA1 region,阿尔茨海默病会导致CA1区域受损
Research_Method,Western blot,confirms,Protein,protein expression,Western blot用于确认蛋白质表达
Clinical_Test,SWATH-MS,identifies,Biomarker,protein alterations,SWATH-MS分析用于识别蛋白质变化作为生物标志物
Protein,HSP90AB1,released_by,Brain_Region,astrocytes,HSP90AB1由星形胶质细胞释放到细胞外空间
Brain_Region,entorhinal cortex,connected_to,Brain_Region,hippocampus,内嗅皮层通过穿通通路与海马体连接
Protein,GFAP,colocalizes_with,Protein,Aβ,GFAP与Aβ在CA1区域共定位
Brain_Region,hippocampus,is_affected_by,Pathological_Change,hippocampal atrophy,海马体萎缩是阿尔茨海默病的病理改变之一
Protein,BAG3,expressed_in,Brain_Region,astrocytes,BAG3在星形胶质细胞中表达
