Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Imaging_Method,MRA,assesses,Pathological_Change,cerebrovasculature abnormalities,磁共振血管成像用于评估脑血管异常
Imaging_Method,MRI,detects,Pathological_Change,white matter integrity impairment,MRI可以检测白质完整性损伤
<Imaging_Method,amyloid imaging,detects,Pathological_Change,amyloid plaques,淀粉样成像检测到淀粉样斑块>
Protein,amyloid-beta,causes,Pathological_Change,gliosis,淀粉样蛋白导致神经胶质增生
Imaging_Method,MRI,detects,Pathological_Change,regional brain atrophy,MRI可以检测局部脑萎缩
Protein,amyloid-beta,binds_to,Biomarker,small chemical dyes,淀粉样蛋白与小化学染料结合
Protein,amyloid-beta,binds_to,Biomarker,chemical probes,淀粉样蛋白与化学探针结合
Imaging_Method,arterial spin labeling,quantifies,Pathological_Change,tissue blood flow,动脉自旋标记用于量化组织血流
Imaging_Method,fMRI,detects,Pathological_Change,impaired cerebrovascular reactivity,功能性磁共振成像可检测到脑血管反应性受损
Imaging_Method,MRI,detects,Pathological_Change,functional connectivity impairment,MRI可以检测功能连接损伤
<Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中积累>
<Imaging_Method,MRI,detects,Pathological_Change,white matter integrity,核磁共振成像检测到白质完整性>
Imaging_Method,MRI,detects,Pathological_Change,brain atrophy,核磁共振成像可检测到脑萎缩
Protein,amyloid-beta,accumulates_in,Brain_Region,subcortical brain regions,淀粉样蛋白在皮层下脑区积累
Imaging_Method,MRI,detects,Pathological_Change,diminished functional connectivity,MRI可以检测功能连接减弱
<Imaging_Method,Functional MRI,detects,Pathological_Change,aberrant functional connectivity,功能性核磁共振成像检测到默认模式网络的异常功能连接>
Protein,amyloid-beta,binds_to,Biomarker,antibody-based probes,淀粉样蛋白与抗体探针结合
Research_Method,DCE-MRI,detects,Pathological_Change,glymphatic system dysfunction,动态对比增强磁共振成像可检测到脑淋巴系统功能障碍
Imaging_Method,MRI,detects,Pathological_Change,hyperactive neurons,MRI可以检测过度活跃的神经元
Imaging_Method,MRI,detects,Pathological_Change,neurovascular uncoupling,MRI可以检测神经血管解耦
<Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查评估认知功能>
Research_Method,dynamic glucose-enhanced MRI,detects,Biomarker,D-glucose,动态葡萄糖增强磁共振成像可检测到D-葡萄糖水平变化
Protein,amyloid-beta,causes,Pathological_Change,neuronal loss,淀粉样蛋白导致神经元丢失
Research_Method,CEST MRI,detects,Biomarker,glucose,化学交换饱和转移磁共振成像可检测到葡萄糖水平变化
Imaging_Method,MRI,detects,Pathological_Change,functional abnormalities,MRI可以检测功能异常
Imaging_Method,MRI,detects,Pathological_Change,cortical hypoperfusion,MRI可以检测皮层低灌注
Protein,amyloid-beta,binds_to,Biomarker,manganese-oxide-nanoparticle,淀粉样蛋白与锰氧化物纳米颗粒结合
Imaging_Method,MRI,detects,Pathological_Change,network hyper-synchronization,MRI可以检测网络过度同步
Imaging_Method,MRI,detects,Pathological_Change,reduced cortical CBF,MRI可以检测皮层脑血流减少
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,mild cognitive impairment,阿尔茨海默病患者常伴有轻度认知障碍
Imaging_Method,diffusion tensor imaging,assesses,Pathological_Change,white matter integrity,扩散张量成像用于评估白质完整性
Imaging_Method,MRI,detects,Pathological_Change,Aβ deposits,MRI可以无创地检测淀粉样蛋白沉积
Imaging_Method,DCE-MRI,detects,Pathological_Change,BBB integrity impairment,动态对比增强磁共振成像可检测到血脑屏障完整性受损
Research_Method,fMRI,assesses,Clinical_Manifestation,cerebrovascular reactivity,功能性磁共振成像用于评估脑血管反应性
<Gene,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因增加阿尔茨海默病的风险>
Protein,amyloid-beta,causes,Pathological_Change,functional impairment,淀粉样蛋白导致功能损伤
Imaging_Method,MRI,detects,Pathological_Change,impaired axon transport,MRI可以检测轴突运输受损
Imaging_Method,MRI,detects,Pathological_Change,early alteration in DMN,MRI可以检测默认模式网络的早期改变
Imaging_Method,MRI,detects,Pathological_Change,neurodegeneration,MRI可以检测神经退行性变
Imaging_Method,resting-state functional MRI,analyzes,Pathological_Change,functional connectivity,静息态功能MRI用于分析功能连接
Imaging_Method,MRI,detects,Pathological_Change,impaired cerebral blood flow,MRI可以检测脑血流受损
Protein,amyloid-beta,causes,Pathological_Change,cognitive impairment,淀粉样蛋白导致认知损伤
Imaging_Method,MRI,detects,Pathological_Change,glymphatic system impairment,MRI可以检测类淋巴系统损伤
Protein,amyloid-beta,binds_to,Biomarker,superparamagnetic iron oxide,淀粉样蛋白与超顺磁性氧化铁结合
<Imaging_Method,MRI,detects,Pathological_Change,cerebral vasculature alterations,核磁共振成像检测到脑血管改变>
Imaging_Method,MR spectroscopy,probes,Pathological_Change,molecular alterations,磁共振波谱用于探测分子变化
<Brain_Region,hippocampus,affected_by,Pathological_Change,reduced cerebral blood flow,海马体受到脑血流量减少的影响>
Imaging_Method,DTI,detects,Pathological_Change,white matter impairment,弥散张量成像可检测到白质损伤
<Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐治疗阿尔茨海默病>
Disease,Alzheimer's disease,has_pathological_hallmark,Pathological_Change,amyloid-beta plaques,阿尔茨海默病的核心病理标志之一是细胞外淀粉样蛋白斑块
Biomarker,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Research_Method,MR elastography,detects,Pathological_Change,cerebral viscoelastic properties,磁共振弹性成像可检测到脑部粘弹性特性受损
<Brain_Region,primary somatosensory cortex,affected_by,Pathological_Change,reduced cerebral blood flow,初级体感皮层受到脑血流量减少的影响>
Imaging_Method,MRI,detects,Pathological_Change,network-specific amyloid progression,MRI可以检测网络特异性淀粉样蛋白进展
Imaging_Method,SWI,detects,Biomarker,iron,磁敏感加权成像可检测到铁的存在
<Imaging_Method,Magnetic Resonance Spectroscopy,detects,Biomarker,metabolic profiles,磁共振波谱检测到代谢特征>
Imaging_Method,MRI,detects,Pathological_Change,network hypo-synchronization,MRI可以检测网络低同步
Imaging_Method,MRI,detects,Pathological_Change,synaptic deficits,MRI可以检测突触缺陷
Protein,amyloid-beta,accumulates_in,Brain_Region,limbic regions,淀粉样蛋白在边缘系统区域积累
Imaging_Method,MRI,uses,Research_Method,contrast agents,MRI使用对比剂进行成像
Protein,amyloid-beta,accumulates_in,Brain_Region,neocortex,淀粉样蛋白首先在新皮层区域积累
Disease,Alzheimer's disease,has_pathological_hallmark,Pathological_Change,neurofibrillary tangles,阿尔茨海默病的核心病理标志之一是细胞内神经纤维缠结
Protein,amyloid-beta,binds_to,Biomarker,Gd-diethylenetriamine pentaacetate,淀粉样蛋白与钆基对比剂结合
<Imaging_Method,MRI,detects,Pathological_Change,brain atrophy,核磁共振成像检测到脑萎缩>
Imaging_Method,anatomical MRI,assesses,Pathological_Change,brain atrophy,解剖MRI用于评估脑萎缩
Imaging_Method,MRI,detects,Pathological_Change,cerebrovascular system impairment,MRI可以检测脑血管系统损伤
