Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,dementia,has_protective_factor,Risk_Factor,reading newspapers,阅读报纸与女性痴呆风险降低相关
Disease,dementia,has_protective_factor,Risk_Factor,internet use,互联网使用与痴呆风险降低相关
Disease,dementia,has_risk_factor,Risk_Factor,depressive symptoms,抑郁症状是痴呆的重要风险因素
Disease,dementia,has_risk_factor,Risk_Factor,education,教育水平影响痴呆风险
Disease,Dementia,has_risk_factor,Risk_Factor,gender,性别是痴呆的风险因素
Research_Method,competing risk regressions,analyzes,Risk_Factor,education and wealth,竞争风险回归分析用于评估教育和财富与痴呆风险的关系
Disease,Dementia,has_risk_factor,Risk_Factor,reading newspapers,阅读报纸可能降低痴呆风险
Research_Method,ELSA,studies,Disease,Dementia,英国老龄化纵向研究用于研究痴呆风险
Disease,dementia,has_risk_factor,Risk_Factor,vascular health,血管健康影响痴呆风险
Disease,Dementia,has_risk_factor,Risk_Factor,having hobbies,拥有爱好可能降低痴呆风险
Disease,dementia,has_risk_factor,Risk_Factor,sex,性别影响痴呆风险
Disease,Dementia,has_risk_factor,Risk_Factor,socially engaged lifestyles,社交活跃的生活方式可能降低痴呆风险
Disease,Dementia,has_risk_factor,Risk_Factor,mentally stimulating activities,智力刺激活动可能降低痴呆风险
Disease,dementia,has_risk_factor,Risk_Factor,smoking,吸烟影响痴呆风险
Disease,dementia,has_protective_factor,Risk_Factor,social withdrawal reduction,减少社交退缩与痴呆风险降低相关
Disease,dementia,has_protective_factor,Risk_Factor,cultural engagement,文化参与与痴呆风险降低相关
Disease,dementia,has_protective_factor,Risk_Factor,social leisure activities,社交休闲活动与痴呆发病率降低相关
Disease,dementia,has_protective_factor,Risk_Factor,successful aging,成功老龄化与痴呆风险降低相关
Disease,dementia,has_risk_factor,Risk_Factor,wealth,财富状况影响痴呆风险
Disease,dementia,has_protective_factor,Risk_Factor,cognitive reserve enhancement,认知储备增强与痴呆风险降低相关
Disease,Dementia,has_risk_factor,Risk_Factor,coronary heart disease,冠心病是痴呆的风险因素
Disease,dementia,has_protective_factor,Risk_Factor,wide variety of hobbies,多种爱好与痴呆风险降低相关
Disease,dementia,has_protective_factor,Risk_Factor,adaptability,适应性与痴呆风险降低相关
Disease,dementia,has_protective_factor,Risk_Factor,mental flexibility,心理灵活性与痴呆风险降低相关
Disease,dementia,has_protective_factor,Risk_Factor,cognitive stimulation,认知刺激活动与痴呆风险降低相关
Disease,dementia,has_risk_factor,Risk_Factor,individual leisure activities,个体休闲活动与痴呆发病率相关
Disease,dementia,has_risk_factor,Risk_Factor,alcohol intake,饮酒影响痴呆风险
Disease,dementia,has_protective_factor,Risk_Factor,improved neurotransmission,改善的神经传递与痴呆风险降低相关
Disease,dementia,has_protective_factor,Risk_Factor,brain health maintenance,大脑健康维护与痴呆风险降低相关
Disease,Dementia,has_risk_factor,Risk_Factor,age,年龄是痴呆的风险因素
Disease,Dementia,has_risk_factor,Risk_Factor,mobile phone usage,使用手机可能降低痴呆风险
Clinical_Test,CES-D,evaluates,Clinical_Manifestation,depressive symptoms,CES-D用于评估抑郁症状
Disease,dementia,has_protective_factor,Risk_Factor,social engagement,社交参与与痴呆风险降低相关
Disease,Dementia,has_risk_factor,Risk_Factor,healthy lifestyle choices,健康生活方式选择可能降低痴呆风险
Disease,Dementia,has_risk_factor,Risk_Factor,leisure activities,休闲活动可能降低痴呆风险
Disease,dementia,has_risk_factor,Risk_Factor,diabetes,糖尿病影响痴呆风险
Disease,Dementia,has_risk_factor,Risk_Factor,alcohol intake,饮酒是痴呆的风险因素
Disease,dementia,has_protective_factor,Risk_Factor,novel experiences,新体验与痴呆风险降低相关
Disease,Dementia,has_risk_factor,Risk_Factor,physical activities,体育活动可能降低痴呆风险
Disease,Dementia,has_risk_factor,Risk_Factor,intellectual leisure activities,智力休闲活动可能降低痴呆风险
Research_Method,competing risk regressions,analyzes,Risk_Factor,number of intellectual activities,竞争风险回归分析用于评估智力活动数量与痴呆风险的关系
Disease,Dementia,has_risk_factor,Risk_Factor,hypertension,高血压是痴呆的风险因素
Disease,dementia,has_protective_factor,Risk_Factor,mobile phone use,使用手机与男性痴呆风险降低相关
Disease,Dementia,has_risk_factor,Risk_Factor,stroke,中风是痴呆的风险因素
Disease,dementia,has_risk_factor,Risk_Factor,marital status,婚姻状况影响痴呆风险
Research_Method,competing risk regressions,analyzes,Risk_Factor,physical health covariates and depression,竞争风险回归分析用于评估身体健康状况和抑郁与痴呆风险的关系
Disease,dementia,has_protective_factor,Risk_Factor,hobbies,参与爱好与已婚个体痴呆风险降低相关
Disease,Dementia,has_risk_factor,Risk_Factor,depressive symptoms,抑郁症状是痴呆的风险因素
Disease,dementia,has_protective_factor,Risk_Factor,cognitive function maintenance,认知功能维护与痴呆风险降低相关
Research_Method,Fine and Gray proportional subdistribution hazard models,analyzes,Disease,Dementia,Fine and Gray比例风险模型用于分析痴呆发病率
Disease,dementia,has_protective_factor,Risk_Factor,healthy lifestyle behaviors,健康生活方式行为与痴呆风险降低相关
Disease,Dementia,has_risk_factor,Risk_Factor,marital status,婚姻状况是痴呆的风险因素
Disease,Dementia,has_risk_factor,Risk_Factor,cognitive reserve,认知储备可能降低痴呆风险
Disease,Dementia,has_risk_factor,Risk_Factor,diabetes,糖尿病是痴呆的风险因素
Disease,dementia,has_protective_factor,Risk_Factor,intellectual leisure activities,智力休闲活动与痴呆发病率降低相关
Research_Method,multiple imputations,analyzes,Disease,Dementia,多重插补法用于分析数据缺失对痴呆研究的影响
Disease,dementia,has_protective_factor,Risk_Factor,positive affect,积极情感与痴呆风险降低相关
Clinical_Test,IQCODE,evaluates,Clinical_Manifestation,cognitive function,IQCODE用于评估日常认知功能变化
Disease,dementia,has_protective_factor,Risk_Factor,cognitive reserve,认知储备与痴呆风险降低相关
Research_Method,competing risk regressions,analyzes,Risk_Factor,lifestyle factors,竞争风险回归分析用于评估生活方式因素与痴呆风险的关系
Disease,dementia,has_protective_factor,Risk_Factor,solitary non-strenuous activities,非剧烈独处活动与痴呆风险降低相关
Disease,dementia,has_risk_factor,Risk_Factor,physical inactivity,缺乏体力活动与痴呆发病率增加相关
Disease,dementia,has_protective_factor,Risk_Factor,physical activity,体力活动与痴呆风险降低相关
Disease,dementia,has_risk_factor,Risk_Factor,engagement in leisure activities,参与休闲活动与痴呆发病率相关
Disease,dementia,has_risk_factor,Risk_Factor,sex and marital status,性别和婚姻状况与痴呆发病率相关
Disease,dementia,has_protective_factor,Risk_Factor,mental stimulation,心理刺激活动与痴呆风险降低相关
Disease,dementia,has_protective_factor,Risk_Factor,stress reduction,压力减轻与痴呆风险降低相关
Disease,Dementia,has_risk_factor,Risk_Factor,social leisure activities,社交休闲活动可能降低痴呆风险
Disease,dementia,has_protective_factor,Risk_Factor,behavioral engagement,行为参与与痴呆风险降低相关
