Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Imaging_Method,fluorescence observation,detects,Pathological_Change,amyloid plaques,荧光观察用于检测淀粉样斑块
Protein,BACE1,produces,Protein,C99,BACE1蛋白产生C99
Gene,BACE1,associated_with,Disease,Alzheimer's disease,BACE1基因与阿尔茨海默病相关
Treatment,CQ/siRNA,reduces,Biomarker,Aβ 1-42,CQ/siRNA治疗减少Aβ 1-42水平
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,amyloid plaques,阿尔茨海默病的病理特征包括淀粉样斑块
Research_Method,SPR analysis,studies,Protein,β-amyloid,表面等离子共振分析用于研究β-淀粉样蛋白
Protein,APP,associated_with,Disease,Alzheimer's disease,APP蛋白与阿尔茨海默病相关
Protein,BACE1,associated_with,Disease,Alzheimer's disease,BACE1蛋白与阿尔茨海默病相关
Protein,Aβ 1-40,associated_with,Disease,Alzheimer's disease,Aβ 1-40与阿尔茨海默病相关
Clinical_Test,ELISA,measures,Protein,β-amyloid,ELISA用于测量β-淀粉样蛋白水平
Research_Method,ELISA,measures,Biomarker,Aβ 1-42,ELISA用于测量Aβ 1-42水平
Disease,Alzheimer's disease,has_biomarker,Biomarker,Aβ 1-42,阿尔茨海默病的生物标志物包括Aβ 1-42
Protein,APP,processed_by,Protein,BACE1,APP蛋白被BACE1蛋白加工
Treatment,CQ/siRNA,reduces,Biomarker,Aβ 1-40,CQ/siRNA治疗减少Aβ 1-40水平
Research_Method,ELISA,measures,Protein,amyloid-beta,ELISA用于测量淀粉样蛋白水平
Disease,Alzheimer's disease,has_biomarker,Biomarker,C99,阿尔茨海默病的生物标志物包括C99
Treatment,CQ/siRNA,improves,Clinical_Manifestation,cognitive performance,CQ/siRNA治疗改善认知功能
Protein,APP,processed_by,Protein,γ-secretase,APP蛋白被γ-分泌酶加工
Protein,C99,associated_with,Disease,Alzheimer's disease,C99与阿尔茨海默病相关
Clinical_Manifestation,memory loss,is_symptom_of,Disease,Alzheimer's disease,记忆力丧失是阿尔茨海默病的症状
Protein,C99,produces,Biomarker,Aβ,C99蛋白产生Aβ
Protein,β-amyloid,accumulates_in,Brain_Region,brain,β-淀粉样蛋白在大脑中积累
Gene,BACE1,produces,Protein,BACE1,BACE1基因产生BACE1蛋白
Research_Method,immunofluorescence,detects,Pathological_Change,amyloid plaques,免疫荧光用于检测淀粉样斑块
Protein,Aβ 1-42,accumulates_in,Brain_Region,cerebral cortex,Aβ 1-42在大脑皮层积累
Brain_Region,cerebral cortex,contains,Pathological_Change,amyloid plaques,大脑皮层含有淀粉样斑块
Protein,C99,cleaved_by,Protein,γ-secretase,C99蛋白被γ-分泌酶切割
Protein,Aβ 1-40,accumulates_in,Brain_Region,hippocampus,Aβ 1-40在海马体区域积累
Protein,γ-secretase,associated_with,Disease,Alzheimer's disease,γ-分泌酶与阿尔茨海默病相关
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病影响海马体区域
Research_Method,ELISA,measures,Biomarker,Aβ 1-40,ELISA用于测量Aβ 1-40水平
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会影响海马体区域
Research_Method,real-time PCR,measures,Biomarker,BACE1 mRNA,实时PCR用于测量BACE1 mRNA水平
Research_Method,real-time PCR,measures,Gene,BACE1,实时PCR用于测量BACE1基因表达
Research_Method,Morris water maze,assesses,Clinical_Manifestation,spatial learning and memory retention,Morris水迷宫测试用于评估空间学习和记忆保留
