Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Protein,MMP-3,correlates_with,Pathological_Change,Aβ deposition,MMP-3与Aβ沉积相关
Protein,MMP-3,is_elevated_in,Disease,McGill-R-Thy1-APP heterozygotes at 6 months,MMP-3在6个月大的McGill-R-Thy1-APP杂合子中表达升高
<Protein,MMP-3,regulated_by,Protein,MMP-9,MMP-3受MMP-9调控>
<Protein,MMP-3,higher_in,Clinical_Stage,clinical AD,MMP-3在阿尔茨海默病临床阶段较高>
Protein,MMP-3,is_elevated_in,Disease,McGill-R-Thy1-APP wildtypes at 13-15 months with proNGF upregulation,MMP-3在13-15个月大且有proNGF上调的McGill-R-Thy1-APP野生型中表达升高
<Protein,MMP-3,regulated_by,Protein,neuroserpin,MMP-3受神经丝氨酸蛋白酶抑制剂调控>
<Disease,Alzheimer's disease,affects,Brain_Region,dorsomedial prefrontal cortex,阿尔茨海默病影响背内侧前额叶皮层>
Protein,MMP-3,secreted_from,Brain_Region,cerebral cortex,MMP-3从大脑皮层分泌
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,tau pathology,阿尔茨海默病与tau病理相关
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病影响海马体区域
Protein,MMP-3,is_elevated_in,Disease,HA-NCI,MMP-3在高淀粉样沉积无认知障碍个体中表达升高
Protein,mature NGF,produced_from,Protein,proNGF,成熟NGF由其前体proNGF生成
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会影响海马体区域
Protein,MMP-3,is_elevated_in,Disease,cognitively normal aged individuals,MMP-3在认知正常的老年人中表达升高
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,APOE ε4,APOE ε4是阿尔茨海默病的风险因素
Protein,amyloid-beta,accumulates_in,Brain_Region,cortex,淀粉样蛋白在大脑皮层中堆积
<Protein,MMP-3,upregulated_in,Disease,Alzheimer's disease,MMP-3在阿尔茨海默病中上调>
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,MMSE用于评估认知功能
<Protein,MMP-3,degrades,Protein,mNGF,MMP-3降解成熟的神经生长因子>
<Protein,MMP-3,regulated_by,Protein,p75/TrkA receptor complexes,MMP-3受p75/TrkA受体复合物调控>
Protein,MMP-3,is_elevated_in,Disease,McGill-R-Thy1-APP heterozygotes,MMP-3在McGill-R-Thy1-APP杂合子中表达升高
Protein,MMP-3,is_elevated_in,Disease,McGill-R-Thy1-APP transgenic rat model,MMP-3在McGill-R-Thy1-APP转基因大鼠模型中表达升高
<Protein,MMP-3,correlates_with,Pathological_Change,AD neuropathology,MMP-3水平与阿尔茨海默病神经病理学相关>
Protein,MMP-3,is_elevated_in,Disease,McGill-R-Thy1-APP homozygotes,MMP-3在McGill-R-Thy1-APP纯合子中表达升高
Protein,MMP-3,is_elevated_in,Disease,cognitively normal people with AD-like neuropathology,MMP-3在认知正常但有阿尔茨海默病样神经病理的个体中表达升高
Protein,MMP-3,is_elevated_in,Disease,healthy aged individuals without AD risk factors,MMP-3在没有阿尔茨海默病风险的健康老年人中表达升高
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,cognitive decline,阿尔茨海默病伴随认知功能下降
Protein,mature NGF,degraded_by,Protein,MMP-9,成熟NGF被MMP-9降解
Disease,MCI,has_pathological_change,Pathological_Change,amyloid-beta accumulation,MCI中淀粉样蛋白异常堆积
Clinical_Test,neuropsychological evaluation,diagnoses,Disease,MCI,神经心理学评估用于诊断MCI
