Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Brain_Region,neocortex,affected_by,Pathological_Change,beta-amyloid plaques,新皮层受β-淀粉样蛋白斑块影响
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,tau tangles,阿尔茨海默病导致tau蛋白缠结
Clinical_Stage,Moderate AD,is_stage_of,Disease,Alzheimer's disease,中度阿尔茨海默病是疾病的一个阶段
Research_Method,microwave imaging,detects,Pathological_Change,amyloid plaques,微波成像用于检测淀粉样斑块
Biomarker,relative permittivity,indicates,Pathological_Change,amyloid plaques,相对介电常数可以指示淀粉样斑块的存在
Research_Method,simulations,models,Disease,Alzheimer's disease,模拟用于建模阿尔茨海默病
Clinical_Stage,Mild Cognitive Impairment,is_stage_of,Disease,Alzheimer's disease,轻度认知障碍是阿尔茨海默病的早期阶段
Brain_Region,hippocampus,affected_by,Pathological_Change,tau tangles,海马体受tau蛋白缠结影响
Pathological_Change,beta-amyloid plaques,interrupts,Clinical_Manifestation,synaptic signaling,β-淀粉样蛋白斑块干扰突触信号传递
Clinical_Test,dielectric measurements,measures,Biomarker,beta-amyloid plaques,介电测量用于检测β-淀粉样蛋白斑块
Risk_Factor,age,increases_risk_of,Disease,Alzheimer's disease,年龄是阿尔茨海默病的风险因素
Protein,tau,causes,Pathological_Change,tangles,tau蛋白导致缠结形成
Pathological_Change,tau tangles,interferes_with,Clinical_Manifestation,cell nutrient transport,tau蛋白缠结干扰细胞营养运输
Pathological_Change,amyloid plaques,associated_with,Disease,Alzheimer's disease,淀粉样斑块与阿尔茨海默病相关
Clinical_Stage,MCI,precedes,Disease,Alzheimer's disease,轻度认知障碍是阿尔茨海默病的前期阶段
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,brain atrophy,阿尔茨海默病导致脑萎缩
Clinical_Test,S11 plot,indicates,Clinical_Stage,Alzheimer's disease,S11图指示阿尔茨海默病的阶段
Imaging_Method,PET scans,detects,Pathological_Change,beta-amyloid plaques,正电子发射断层扫描用于检测β-淀粉样蛋白斑块
Disease,Alzheimer's disease,has_stage,Clinical_Stage,Mild AD,阿尔茨海默病有轻度阶段
Clinical_Stage,Severe AD,is_stage_of,Disease,Alzheimer's disease,重度阿尔茨海默病是疾病的一个阶段
Disease,Alzheimer's disease,affects,Brain_Region,parietal lobe,阿尔茨海默病影响顶叶
Imaging_Method,fMRI,detects,Pathological_Change,plaques and tangles,功能性磁共振成像检测斑块和缠结
Brain_Region,trans-entorhinal cortex,affected_by,Pathological_Change,tau tangles,内嗅皮层受tau蛋白缠结影响
Imaging_Method,RF sensor,detects,Pathological_Change,amyloid plaques,射频传感器可以检测淀粉样斑块
Clinical_Test,dielectric measurements,measures,Biomarker,tau tangles,介电测量用于检测tau蛋白缠结
Biomarker,relative permittivity,indicates,Pathological_Change,tau tangles,相对介电常数可以指示tau蛋白缠结的存在
Disease,Alzheimer's disease,has_stage,Clinical_Stage,MCI,阿尔茨海默病有轻度认知障碍阶段
Imaging_Method,RF sensors,detects,Pathological_Change,tau tangles,射频传感器用于检测tau蛋白缠结
Protein,beta-amyloid,causes,Pathological_Change,plaques,β-淀粉样蛋白导致斑块形成
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,beta-amyloid plaques,阿尔茨海默病导致β-淀粉样蛋白斑块形成
Disease,Alzheimer's disease,affects,Brain_Region,white matter,阿尔茨海默病会影响大脑白质区域
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查用于评估认知功能
Disease,Alzheimer's disease,has_stage,Clinical_Stage,Moderate AD,阿尔茨海默病有中度阶段
Biomarker,tau tangles,accumulates_in,Brain_Region,brain,tau蛋白缠结在大脑中积累
Clinical_Test,S11 data,measures,Pathological_Change,tau tangles,S11数据用于测量tau蛋白缠结
Biomarker,beta-amyloid plaques,accumulates_in,Brain_Region,brain,β-淀粉样蛋白斑块在大脑中积累
Imaging_Method,MIST algorithm,reconstructs,Pathological_Change,plaques and tangles,MIST算法重建斑块和缠结图像
Disease,Alzheimer's disease,affects,Brain_Region,gray matter,阿尔茨海默病会影响大脑灰质区域
Clinical_Stage,Mild AD,is_stage_of,Disease,Alzheimer's disease,轻度阿尔茨海默病是疾病的一个阶段
Imaging_Method,RF sensor,detects,Pathological_Change,tau tangles,射频传感器可以检测tau蛋白缠结
Protein,tau,forms,Pathological_Change,tau tangles,tau蛋白形成神经纤维缠结
Research_Method,microwave imaging,detects,Pathological_Change,tau tangles,微波成像用于检测tau蛋白缠结
Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐是治疗阿尔茨海默病的药物
Pathological_Change,tau tangles,associated_with,Disease,Alzheimer's disease,tau蛋白缠结与阿尔茨海默病相关
Gene,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因是阿尔茨海默病的重要风险因素
Disease,Alzheimer's disease,affects,Brain_Region,temporal lobe,阿尔茨海默病影响颞叶
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会导致海马体区域受损
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,plaques and tangles,阿尔茨海默病伴随斑块和缠结的病理改变
Research_Method,experiments,validates,Imaging_Method,RF sensors,实验验证射频传感器的有效性
Protein,beta-amyloid,accumulates_in,Brain_Region,brain,β-淀粉样蛋白在大脑中异常堆积
Imaging_Method,RF sensors,detects,Pathological_Change,plaques and tangles,射频传感器检测斑块和缠结
Imaging_Method,PET scans,detects,Pathological_Change,plaques and tangles,PET扫描检测斑块和缠结
Research_Method,dielectric measurements,measures,Biomarker,dielectric properties,介电测量用于测量生物组织的介电特性
Research_Method,computational models,simulates,Clinical_Stage,different stages of AD,计算模型用于模拟阿尔茨海默病的不同阶段
Imaging_Method,MRI,detects,Pathological_Change,brain atrophy,核磁共振成像用于检测脑萎缩
Clinical_Test,S11 data,measures,Pathological_Change,amyloid plaques,S11数据用于测量淀粉样斑块
Disease,Alzheimer's disease,affects,Brain_Region,medial temporal lobe,阿尔茨海默病影响内侧颞叶
Research_Method,dielectric measurement,measures,Biomarker,relative permittivity,介电测量用于测量相对介电常数
Imaging_Method,RF sensors,detects,Pathological_Change,beta-amyloid plaques,射频传感器用于检测β-淀粉样蛋白斑块
Disease,Alzheimer's disease,has_stage,Clinical_Stage,Severe AD,阿尔茨海默病有重度阶段
