Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Treatment,antisense oligonucleotides,has_challenge,Risk_Factor,blood-brain barrier,反义寡核苷酸需克服血脑屏障的挑战
Protein,RAB10,affects,Pathological_Change,Aβ production,RAB10影响Aβ的产生
Protein,RAB10,affects,Pathological_Change,neuronal morphology,RAB10在神经元形态和极化中起关键作用
Gene,PSEN2,is_associated_with,Disease,early-onset Alzheimer's disease,PSEN2基因突变与早发性阿尔茨海默病相关
Treatment,antisense oligonucleotides,requires,Clinical_Test,intrathecal bolus injection,反义寡核苷酸需要通过鞘内注射确保分布
Treatment,Aβ removal,targets,Protein,amyloid-beta,清除Aβ疗法针对淀粉样蛋白
Disease,Alzheimer's disease,is_characterized_by,Pathological_Change,neuronal loss,阿尔茨海默病以神经元丢失为病理特征
Disease,Alzheimer's disease,is_characterized_by,Pathological_Change,amyloid plaques,阿尔茨海默病以淀粉样斑块为病理特征
Protein,RAB10,phosphorylated_by,Protein,LRRK2,LRRK2介导RAB10在Thr73位点的磷酸化
Gene,RAB10,affects,Protein,amyloid-beta,RAB10基因影响淀粉样蛋白的产生
Protein,RAB10,associates_with,Pathological_Change,lipid droplets,RAB10与脂滴结合
Gene,APOE ε2,confers_resilience_to,Disease,Alzheimer's disease,APOE ε2等位基因可降低阿尔茨海默病风险
Protein,RAB10,colocalizes_with,Pathological_Change,neurofibrillary tangles,RAB10与神经纤维缠结共定位
Protein,RAB10,colocalizes_with,Pathological_Change,dystrophic neurons,RAB10与营养不良神经元共定位
Disease,Alzheimer's disease,has_pathological_change,Protein,amyloid-beta,淀粉样蛋白的积累是阿尔茨海默病的关键病理改变
Treatment,antibodies,targets,Gene,RAB10,抗体是靶向RAB10基因的潜在治疗方法
Disease,Alzheimer's disease,has_pathogenesis,Gene,RAB10,RAB10基因在阿尔茨海默病的发病机制中起重要作用
Risk_Factor,age,increases_risk_of,Disease,Alzheimer's disease,年龄是阿尔茨海默病的风险因素
Treatment,antibodies,has_challenge,Risk_Factor,blood-brain barrier,抗体需克服血脑屏障的挑战
Treatment,small molecules,has_challenge,Risk_Factor,blood-brain barrier,小分子药物需克服血脑屏障的挑战
