Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,Alzheimer's disease,has_stage,Clinical_Stage,mild cognitive impairment,阿尔茨海默病的早期阶段是轻度认知障碍
Protein,tau,affects,Pathological_Change,synaptic plasticity,tau在突触可塑性中起重要作用
Protein,Ab,translocates_from,Gut,brain,Ab寡聚体从肠道转移到大脑
Protein,Ab oligomers,unbalances,Pathological_Change,calcium homeostasis,Ab寡聚体破坏钙稳态
Biomarker,mitochondria,affects,Pathological_Change,synaptic degeneration,线粒体功能障碍导致突触退化
Disease,Alzheimer's disease,has_pathological_feature,Pathological_Change,amyloid plaques,阿尔茨海默病的主要病理特征是淀粉样斑块
Protein,tau,accumulates_in,Brain_Region,brain,tau蛋白在大脑中异常堆积
Biomarker,mitochondria,generates,Pathological_Change,free radicals,线粒体在突触处产生的自由基增加导致突触损失
Protein,tau,related_to,Symptom,cognitive decline,可溶性高磷酸化tau与认知衰退密切相关
Protein,tau,has_feature_of,Pathological_Change,prion,tau具有朊病毒特征
Protein,phosphorylated tau,damages,Pathological_Change,mitochondria,磷酸化tau蛋白损害线粒体
Protein,PSD-95,impairs,Pathological_Change,AMPAR and NMDAR transmissions,PSD-95的丧失导致AMPAR和NMDAR传递受损
Protein,amyloid-beta,impairs,Pathological_Change,LTP,淀粉样蛋白损害长时程增强
Protein,tau,associated_with,Clinical_Manifestation,cognitive decline,tau与认知功能下降密切相关
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会影响海马体区域
Protein,tau,results_in,Pathological_Change,mushroom spine loss,在皮质神经元中，表达人类P301L突变tau导致蘑菇棘损失
Research_Method,combination therapy,targets,Protein,synaptic tau and Ab,联合治疗针对突触tau和Ab
Biomarker,mitochondria,transports_to,Brain_Region,synaptic terminals,Ab或磷酸化tau触发线粒体运输到突触终端
Protein,amyloid-beta,binds_to,Protein,NMDA receptors,淀粉样蛋白与NMDA受体结合
Protein,tau,increases,Pathological_Change,synaptic loss,在淀粉样变性小鼠模型中，人类tau的过度表达增加了突触损失
Protein,amyloid-beta,modulates,Protein,tyrosine kinases,淀粉样蛋白调节酪氨酸激酶
Protein,Ab*56,triggers,Pathological_Change,intracellular response,Ab*56触发特定的细胞内反应
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Protein,tau,mediates,Pathological_Change,synaptotoxicity,tau是突触毒性的中介因子
Protein,PSD-95,results_in,Pathological_Change,synaptic loss,PSD-95的丧失导致含有谷氨酸受体的突触减少
Risk_Factor,oxidative stress,promotes,Pathological_Change,Ab deposition,氧化应激促进Ab沉积
Gene,TREM2,expressed_in,Biomarker,microglial cells,TREM2在小胶质细胞中高表达
Protein,tau,spreads_through,Brain_Region,brain,tau朊病毒在AD过程中沿已知神经解剖路径传播
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory deficits,阿尔茨海默病的症状包括记忆缺陷
