Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Research_Method,ELISA,measures,Biomarker,CAT,ELISA用于测量过氧化氢酶水平
Pathological_Change,pyroptosis,is_related_to,Disease,Alzheimer's disease,细胞焦亡与阿尔茨海默病的进展密切相关
Protein,IL-1β,releases_during,Pathological_Change,pyroptosis,IL-1β在细胞焦亡过程中释放
Protein,NF-κB,promotes,Pathological_Change,oxidative stress,NF-κB通过miR-146a-5p/TIGAR轴促进氧化应激
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Research_Method,western blotting,tests,Protein,NF-κB expression,蛋白质印迹法用于检测NF-κB的表达
Protein,IL-18,releases_during,Pathological_Change,pyroptosis,IL-18在细胞焦亡过程中释放
Gene,miR-146a-5p,regulates,Pathological_Change,oxidative stress,miR-146a-5p调节氧化应激
Research_Method,ELISA,measures,Biomarker,MDA,ELISA用于测量丙二醛水平
Gene,miR-146a-5p,correlates_with,Protein,TIGAR,miR-146a-5p与TIGAR的表达相关
Protein,TIGAR,regulates,Pathological_Change,oxidative stress,TIGAR调节氧化应激
Protein,IL-18,associated_with,Pathological_Change,pyroptosis,IL-18与细胞焦亡相关
Research_Method,Western Blotting,detects,Protein,NF-κB,Western Blotting用于检测NF-κB蛋白表达
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会导致海马体神经元损失
Gene,miR-146a-5p,targets,Protein,TIGAR,miR-146a-5p靶向并下调TIGAR表达
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病的主要症状是记忆力丧失
Research_Method,ELISA,measures,Biomarker,oxidative stress indices,ELISA用于测量氧化应激指标
Risk_Factor,oxidative stress,contributes_to,Disease,Alzheimer's disease,氧化应激是阿尔茨海默病的风险因素
Research_Method,ELISA,measures,Biomarker,NADPH,ELISA用于测量烟酰胺腺嘌呤二核苷酸磷酸水平
Protein,NF-κB,correlates_with,Protein,TIGAR,NF-κB与TIGAR的表达相关
Gene,miR-146a-5p,promotes,Pathological_Change,oxidative stress,miR-146a-5p促进氧化应激
Protein,NLRP3,associated_with,Pathological_Change,pyroptosis,NLRP3与细胞焦亡相关
Protein,NF-κB,promotes,Pathological_Change,pyroptosis,NF-κB通过miR-146a-5p/TIGAR轴促进细胞焦亡
Protein,TIGAR,is_reduced_by,Gene,miR-146a-5p,miR-146a-5p降低TIGAR的表达
Clinical_Test,dual luciferase reporter gene assay,investigates,Relationship,miR-146a-5p and TIGAR,双荧光素酶报告基因实验用于研究miR-146a-5p与TIGAR的关系
Research_Method,ELISA,measures,Biomarker,ROS,ELISA用于测量活性氧水平
Protein,NF-κB,upregulates,Gene,miR-146a-5p,NF-κB上调miR-146a-5p的表达
Protein,caspase-1,activates,Pathological_Change,pyroptosis,caspase-1激活细胞焦亡
Research_Method,ELISA,measures,Biomarker,SOD,ELISA用于测量超氧化物歧化酶水平
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病影响海马体区域
Protein,TIGAR,protects_against,Pathological_Change,oxidative stress,TIGAR通过降低氧化应激水平发挥保护作用
Protein,IL-1β,associated_with,Pathological_Change,pyroptosis,IL-1β与细胞焦亡相关
Research_Method,Dual Luciferase Reporter Assay,investigates,Relationship,miR-146a-5p and TIGAR,双荧光素酶报告基因检测用于研究miR-146a-5p与TIGAR的关系
Gene,miR-146a-5p,promotes,Pathological_Change,pyroptosis,miR-146a-5p促进细胞焦亡
Protein,NF-κB,regulates,Gene,miR-146a-5p,NF-κB通过上调miR-146a-5p在阿尔茨海默病中发挥作用
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查用于评估认知功能
Protein,NF-κB,correlates_with,Gene,miR-146a-5p,NF-κB与miR-146a-5p的表达相关
Protein,TIGAR,regulates,Pathological_Change,pyroptosis,TIGAR通过调节细胞焦亡在阿尔茨海默病中发挥作用
Research_Method,ELISA,measures,Biomarker,GSH,ELISA用于测量谷胱甘肽水平
Research_Method,qRT-PCR,measures,Biomarker,miR-146a-5p expression,qRT-PCR用于检测miR-146a-5p的表达水平
Protein,NF-κB,associated_with,Disease,Alzheimer's disease,NF-κB在阿尔茨海默病中高度表达并参与病理过程
Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐是治疗阿尔茨海默病的药物
Gene,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因是阿尔茨海默病的重要风险因素
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会导致海马体区域受损
Clinical_Stage,mild cognitive impairment,progresses_to,Disease,Alzheimer's disease,轻度认知障碍可能进展为阿尔茨海默病
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,记忆力丧失是阿尔茨海默病的主要症状
Protein,TIGAR,regulates,Pathological_Change,oxidative stress,TIGAR通过调节氧化应激在阿尔茨海默病中发挥作用
Protein,caspase-1,associated_with,Pathological_Change,pyroptosis,caspase-1与细胞焦亡相关
Gene,miR-146a-5p,targets,Protein,TIGAR,miR-146a-5p靶向并下调TIGAR的表达
Risk_Factor,neuroinflammation,contributes_to,Disease,Alzheimer's disease,神经炎症是阿尔茨海默病的风险因素
Protein,TIGAR,associated_with,Disease,Alzheimer's disease,TIGAR在阿尔茨海默病中表达降低并与病理过程相关
Gene,miR-146a-5p,regulates,Pathological_Change,pyroptosis,miR-146a-5p调节细胞焦亡
Protein,TIGAR,protects_against,Pathological_Change,pyroptosis,TIGAR通过抑制细胞焦亡发挥保护作用
Biomarker,miR-146a-5p,serves_as,Clinical_Test,diagnostic biomarker,miR-146a-5p可作为阿尔茨海默病的诊断标志物
Gene,miR-146a-5p,regulates,Protein,TIGAR,miR-146a-5p通过靶向TIGAR调节氧化应激和细胞焦亡
Imaging_Method,MRI,detects,Pathological_Change,brain atrophy,核磁共振可以检测到脑萎缩情况
Protein,TIGAR,regulates,Pathological_Change,pyroptosis,TIGAR调节细胞焦亡
Gene,NF-κB,promotes,Pathological_Change,hippocampal neuronal oxidative stress,NF-κB促进海马体神经元氧化应激
