Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Protein,tau,enhances,Biochemical_Process,iron output,tau蛋白增强铁输出
Protein,tau,triggers,Pathological_Change,neuronal death,tau蛋白触发神经元死亡
Protein,tau,triggers,Pathological_Change,oxidative stress,tau蛋白触发氧化应激
Protein,tau,triggers,Pathological_Change,energy metabolism impairment,tau蛋白触发能量代谢障碍
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,cerebral atrophy,阿尔茨海默病的主要病理特征之一是脑萎缩
<Protein,APP,produces,Protein,amyloid-beta,APP蛋白产生淀粉样蛋白>
Protein,amyloid-beta,inhibits,Brain_Function,long-term potentiation,淀粉样蛋白抑制海马体长时程增强
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,aging,年龄增长是阿尔茨海默病的最大风险因素
<Pathological_Change,neuronal atrophy,caused_by,Pathological_Change,hypometabolism,神经元萎缩由代谢低下引起>
Disease,Alzheimer's disease,classified_into,Clinical_Stage,familial AD,阿尔茨海默病分为家族性阿尔茨海默病
Protein,tau,correlates_with,Clinical_Manifestation,cognitive decline,tau蛋白水平与认知下降相关
<Treatment,memantine,blocks,Protein,NMDA receptors,美金刚通过阻断NMDA受体来减少谷氨酸的兴奋毒性>
<Protein,sigma-1 receptor,promotes,Pathological_Change,neuroprotection,sigma-1受体促进神经保护>
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,amyloid plaques,阿尔茨海默病的主要病理特征之一是淀粉样斑块
<Treatment,statins,fails_to_reduce,Biomarker,Aβ-42,他汀类药物未能减少脑脊液中的Aβ-42水平>
Research_Method,electron microscopy,detects,Pathological_Change,neurofibrillary tangles,电子显微镜可检测神经纤维缠结
<Treatment,fluoxetine,improves,Clinical_Manifestation,cognitive function,氟西汀改善阿尔茨海默病患者的认知功能>
<Pathological_Change,neurofibrillary tangles,causes,Pathological_Change,cell death,神经纤维缠结导致细胞死亡>
Protein,amyloid-beta,neurotoxic_to,Brain_Region,brain,淀粉样蛋白对大脑神经元具有神经毒性
Gene,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因是阿尔茨海默病的重要风险因素
Treatment,umibecestat,targets,Protein,amyloid-beta,乌米贝司他靶向淀粉样蛋白
<Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会导致海马体区域受损>
Protein,APP,regulates,Biochemical_Process,iron homeostasis,APP蛋白调节铁稳态
Protein,tau,hyperphosphorylated_at,Amino_Acid,Ser396,tau蛋白在Ser396位点过度磷酸化
<Disease,Alzheimer's disease,associated_with,Hypothesis,Mitochondrial Cascade Hypothesis,阿尔茨海默病与线粒体级联假说相关>
Gene,APP,associated_with,Disease,familial AD,APP基因突变与家族性阿尔茨海默病相关
<Gene,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因是阿尔茨海默病的重要风险因素>
Protein,tau,aggregates_into,Pathological_Change,neurofibrillary tangles,tau蛋白聚集成神经纤维缠结
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
<Protein,APP,cleaved_by,Protein,γ-secretase,APP蛋白被γ-分泌酶切割>
Gene,PSEN1,associated_with,Disease,familial AD,PSEN1基因突变与家族性阿尔茨海默病相关
Protein,amyloid-beta,triggers,Pathological_Change,neurotoxicity,淀粉样蛋白触发神经毒性
<Disease,Alzheimer's disease,associated_with,Hypothesis,Amyloid Hypothesis,阿尔茨海默病与淀粉样蛋白假说相关>
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病的主要症状是记忆力丧失
Protein,tau,deficiency_causes,Pathological_Change,iron accumulation,tau蛋白缺失导致铁积累
<Treatment,rosiglitazone,fails_in,Clinical_Stage,phase III trial,罗格列酮在III期临床试验中无效>
Treatment,solanezumab,targets,Protein,amyloid-beta,索拉珠单抗靶向淀粉样蛋白
<Disease,Alzheimer's disease,associated_with,Pathological_Change,neuronal atrophy,阿尔茨海默病与神经元萎缩相关>
Protein,tau,interacts_with,Protein,APP,tau蛋白与APP蛋白相互作用
Imaging_Method,PET,detects,Biomarker,amyloid-beta,PET成像可用于检测淀粉样蛋白沉积
Protein,tau,hyperphosphorylated_at,Amino_Acid,Ser404,tau蛋白在Ser404位点过度磷酸化
<Treatment,fluoxetine,inhibits,Protein,NMDA receptors,氟西汀抑制NMDA受体>
<Treatment,ramipril,fails_in,Clinical_Stage,pilot clinical trial,雷米普利在初步临床试验中失败>
<Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积>
<Treatment,fluoxetine,binds_to,Protein,sigma-1 receptor,氟西汀与sigma-1受体结合>
Protein,tau,forms,Pathological_Change,neurofibrillary tangles,tau蛋白形成神经纤维缠结
Protein,amyloid-beta,impairs,Biochemical_Process,energy metabolism,淀粉样蛋白损害能量代谢
Protein,amyloid-beta,triggers,Pathological_Change,neuronal death,淀粉样蛋白触发神经元死亡
Treatment,TRx0237,targets,Protein,tau,TRx0237靶向tau蛋白
Protein,tau,triggers,Pathological_Change,excitotoxicity,tau蛋白触发兴奋性毒性
<Biomarker,Aβ,increases_in,Clinical_Test,plasma,阿尔茨海默病患者血浆中Aβ水平升高>
Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐是治疗阿尔茨海默病的药物
Protein,tau,enhances,Biochemical_Process,APP trafficking,tau蛋白增强APP运输
Protein,tau,hyperphosphorylated_in,Disease,Alzheimer's disease,tau蛋白在阿尔茨海默病中过度磷酸化
Protein,amyloid-beta,triggers,Pathological_Change,oxidative stress,淀粉样蛋白触发氧化应激
<Treatment,naproxen,fails_in,Clinical_Stage,phase III trial,萘普生在III期临床试验中无效>
Protein,tau,affects,Brain_Region,brain,tau蛋白影响大脑功能
Treatment,AADvac1,targets,Protein,tau,AADvac1疫苗靶向过度磷酸化的tau蛋白
Protein,tau,triggers,Pathological_Change,neurotoxicity,tau蛋白触发神经毒性
Treatment,memantine,treats,Disease,Alzheimer's disease,美金刚是治疗阿尔茨海默病的药物
Gene,APOE,located_on,Chromosome,19q13.2,APOE基因位于19号染色体q13.2区域
<Treatment,celecoxib,fails_in,Clinical_Stage,phase III trial,塞来昔布在III期临床试验中无效>
<Pathological_Change,neuronal atrophy,caused_by,Pathological_Change,autophagy decline,神经元萎缩由自噬减少引起>
Protein,tau,triggers,Pathological_Change,synaptic toxicity,tau蛋白触发突触毒性
Protein,amyloid-beta,affects,Brain_Region,hippocampus,淀粉样蛋白影响海马体功能
<Risk_Factor,hypertension,linked_to,Clinical_Manifestation,worse cognition,高血压与阿尔茨海默病患者认知功能下降相关>
Protein,amyloid-beta,triggers,Pathological_Change,synaptic toxicity,淀粉样蛋白触发突触毒性
Protein,tau,hyperphosphorylated_at,Amino_Acid,Ser202,tau蛋白在Ser202位点过度磷酸化
Protein,tau,stabilizes,Cell_Structure,microtubules,tau蛋白稳定微管结构
<Protein,Beclin 1,decreases_in,Clinical_Stage,early stage of AD,Beclin 1在阿尔茨海默病早期阶段减少>
<Protein,APP,cleaved_by,Protein,β-secretase,APP蛋白被β-分泌酶切割>
<Disease,Alzheimer's disease,associated_with,Hypothesis,Tau propagation Hypothesis,阿尔茨海默病与tau传播假说相关>
<Disease,Alzheimer's disease,associated_with,Hypothesis,Inflammatory Hypothesis,阿尔茨海默病与炎症假说相关>
<Risk_Factor,type 2 diabetes,increases_risk_of,Disease,Alzheimer's disease,2型糖尿病增加阿尔茨海默病的风险>
<Biomarker,insulin,decreases_in,Brain_Region,brain,阿尔茨海默病患者大脑中胰岛素水平降低>
Treatment,aducanumab,targets,Protein,amyloid-beta,阿杜卡单抗靶向淀粉样蛋白
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,neuropsychiatric symptoms,阿尔茨海默病伴随神经精神症状
<Disease,Alzheimer's disease,associated_with,Protein,APP,阿尔茨海默病与APP蛋白相关>
<Protein,IL-1β,correlated_with,Disease,Alzheimer's disease,炎症因子IL-1β与阿尔茨海默病进展相关>
