Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Imaging_Method,PET,detects,Pathological_Change,brain atrophy,正电子发射断层扫描可检测脑萎缩
Biomarker,CSF t-tau,indicates,Pathological_Change,neuronal damage,CSF t-tau水平提示神经元损伤
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Clinical_Test,CSF examination,measures,Biomarker,total tau,脑脊液检查测量总tau蛋白
Imaging_Method,FDG-PET,correlates_with,Clinical_Test,MMSE,FDG-PET与MMSE评分高度相关
Biomarker,neuronal injury,predicts,Clinical_Manifestation,cognitive progression,神经元损伤生物标志物可预测认知进展
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病的主要症状是记忆力丧失
Imaging_Method,FDG-PET,detects,Pathological_Change,synaptic dysfunction,FDG-PET检测突触功能障碍
Biomarker,total tau,measured_in,Clinical_Test,CSF examination,总tau蛋白通过脑脊液检查测量
Research_Method,regression analysis,analyzes,Biomarker,neuronal injury,回归分析用于评估神经元损伤生物标志物
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,cognitive impairment,阿尔茨海默病表现为认知功能障碍
Clinical_Stage,MCI,precedes,Disease,Alzheimer's disease,轻度认知障碍是阿尔茨海默病的前期阶段
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,brain,神经纤维缠结在大脑中发现
Risk_Factor,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因增加阿尔茨海默病风险
Clinical_Test,CERAD,correlates_with,Clinical_Test,MMSE,CERAD测试与MMSE评分相关
Imaging_Method,FDG-PET,detects,Pathological_Change,reduced cortical glucose utilization,FDG-PET用于检测皮质葡萄糖利用率降低
Pathological_Change,amyloid plaques,found_in,Brain_Region,brain,淀粉样斑块在大脑中发现
Disease,MCI,has_biomarker,Biomarker,neuronal injury,神经元损伤生物标志物可用于预测MCI患者的认知储备
Disease,Alzheimer's disease,has_biomarker,Biomarker,neuronal injury,神经元损伤生物标志物可用于预测阿尔茨海默病患者的认知储备
Biomarker,FDG-PET,outperforms,Biomarker,hippocampal volume,FDG-PET在海马体萎缩评估中表现更优
Clinical_Stage,MCI,precedes,Disease,Alzheimer's disease,MCI可能发展为阿尔茨海默病
Treatment,FDG-PET,assesses,Clinical_Manifestation,cognitive reserve,FDG-PET用于评估认知储备
Research_Method,multiple regression analysis,calculates,Clinical_Manifestation,expected MMSE score,多元回归分析用于计算预期的MMSE评分
Brain_Region,hippocampus,affected_by,Pathological_Change,atrophy,海马体受到萎缩的影响
Biomarker,FDG-PET,outperforms,Biomarker,CSF t-tau,FDG-PET在CSF t-tau评估中表现更优
Biomarker,FDG-PET,predicts,Clinical_Manifestation,cognitive decline,FDG-PET可预测认知衰退
Clinical_Test,MMSE,associates_with,Biomarker,neuronal injury,简易精神状态检查与神经元损伤生物标志物相关
Imaging_Method,MRI,detects,Pathological_Change,hippocampal volume loss,核磁共振可检测海马体体积减少
Protein,tau,forms,Pathological_Change,neurofibrillary tangles,tau蛋白形成神经纤维缠结
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查用于评估认知功能
Biomarker,neuronal injury,correlates_with,Clinical_Manifestation,education level,神经元损伤生物标志物与教育水平相关
Biomarker,hippocampal volume,correlates_with,Clinical_Test,MMSE,海马体体积与MMSE评分相关
Biomarker,FDG-PET,correlates_with,Clinical_Test,MMSE,FDG-PET与MMSE评分高度相关
Risk_Factor,education level,impacts,Clinical_Manifestation,cognitive reserve,教育水平影响认知储备
Imaging_Method,MRI,detects,Pathological_Change,hippocampal atrophy,MRI用于检测海马体萎缩
Biomarker,CSF t-tau,indicates,Pathological_Change,global neuronal injury,脑脊液中的总tau蛋白指示全局神经元损伤
Clinical_Test,CSF examination,measures,Biomarker,phosphorylated tau,脑脊液检查测量磷酸化tau蛋白
Imaging_Method,MRI,detects,Pathological_Change,hippocampal atrophy,MRI检测海马体萎缩
Clinical_Test,MMSE,discrepancies_with,Clinical_Test,MMSE PREDICTED,MMSE观察值与预测值存在差异
Clinical_Test,MMSE,correlates_with,Biomarker,neuronal injury,简易精神状态检查与神经元损伤生物标志物相关
Risk_Factor,years of education,affects,Clinical_Manifestation,cognitive reserve,教育年限影响认知储备
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会导致海马体区域受损
Clinical_Test,MMSE,correlates_with,Biomarker,FDG-PET,MMSE评分与FDG-PET生物标志物相关
Biomarker,CSF t-tau,correlates_with,Clinical_Test,MMSE,CSF t-tau水平与MMSE评分相关
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,MMSE用于评估认知功能
Research_Method,regression analysis,analyzes,Biomarker,neuronal injury,回归分析用于分析神经元损伤生物标志物
Pathological_Change,tau pathophysiology,precedes,Pathological_Change,hippocampal atrophy,tau病理生理学变化早于海马体萎缩
Imaging_Method,MRI,assesses,Pathological_Change,grey matter atrophy,MRI用于评估灰质萎缩
Biomarker,FDG-PET,indicates,Clinical_Manifestation,cognitive reserve,FDG-PET提示认知储备水平
Risk_Factor,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因增加阿尔茨海默病的风险
