Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,Alzheimer's disease,is_associated_with,Protein,β-amyloid,阿尔茨海默病与β-淀粉样蛋白相关
Disease,Alzheimer's disease,has_pathology,Pathological_Change,neuritic plaques,阿尔茨海默病的病理改变包括神经炎斑块
Disease,Alzheimer's disease,associated_with,Pathological_Change,neurofibrillary tangles,阿尔茨海默病与神经纤维缠结相关
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,corticobasal syndrome,阿尔茨海默病可能表现为皮质基底节综合征
Disease,Alzheimer's disease,is_staged_by,Clinical_Stage,mild cognitive impairment,阿尔茨海默病的分期包括轻度认知障碍
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,major neurocognitive disorder,阿尔茨海默病可能导致重度神经认知障碍
Risk_Factor,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因增加阿尔茨海默病的风险
Clinical_Test,CSF tau,measures,Biomarker,tau,脑脊液tau检测用于测量tau蛋白水平
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,amnestic dementia,阿尔茨海默病的主要症状是遗忘性痴呆
Imaging_Method,tau PET,detects,Biomarker,tau,tau PET成像用于检测tau蛋白
Disease,Alzheimer's disease,is_researched_by,Research_Method,clinical trials,阿尔茨海默病的研究方法包括临床试验
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,amnestic dementia,阿尔茨海默病的症状包括遗忘性痴呆
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,arteriosclerotic cerebrovascular disease,动脉硬化性脑血管疾病是阿尔茨海默病的风险因素
Disease,Alzheimer's disease,is_researched_by,Research_Method,molecular mechanisms study,阿尔茨海默病的研究方法包括分子机制研究
Disease,Alzheimer's disease,has_pathology,Pathological_Change,neurofibrillary tangles,阿尔茨海默病的病理改变包括神经纤维缠结
Disease,Alzheimer's disease,excludes,Disease,cerebrovascular disease,阿尔茨海默病诊断需排除脑血管疾病
Disease,Alzheimer's disease,has_biomarker,Biomarker,TDP43,TDP43包涵体是阿尔茨海默病的潜在生物标志物
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查用于评估认知功能
Disease,Alzheimer's disease,has_stage,Clinical_Stage,mild cognitive impairment,轻度认知障碍是阿尔茨海默病的早期阶段
Disease,Alzheimer's disease,has_stage,Clinical_Stage,asymptomatic at risk for AD,阿尔茨海默病的无症状风险期称为无症状AD风险
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病影响海马体区域
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,dementia,阿尔茨海默病可能导致痴呆
Research_Method,neuropathologic studies,investigates,Pathological_Change,neuritic plaques,神经病理学研究用于研究神经炎斑块
Disease,Alzheimer's disease,is_associated_with,Protein,tau,阿尔茨海默病与tau蛋白相关
Disease,Alzheimer's disease,diagnosed_by,Clinical_Test,probable AD,阿尔茨海默病通过“可能的AD”诊断
Protein,tau,forms,Pathological_Change,neurofibrillary tangles,tau蛋白形成神经纤维缠结
Clinical_Test,hippocampal atrophy,detects,Pathological_Change,brain atrophy,海马体萎缩检测用于发现脑萎缩
Disease,Alzheimer's disease,associated_with,Risk_Factor,APOE4 gene,APOE4基因是阿尔茨海默病的风险因素
Disease,Alzheimer's disease,diagnosed_by,Clinical_Test,NINCDS-ADRDA criteria,阿尔茨海默病通过NINCDS-ADRDA标准诊断
Research_Method,epidemiologic study,studies,Disease,Alzheimer's disease,流行病学研究用于研究阿尔茨海默病
Clinical_Test,fluorodeoxyglucose PET,measures,Biomarker,neuronal injury,氟脱氧葡萄糖PET用于测量神经元损伤
Research_Method,neuropathologic studies,investigates,Pathological_Change,neurofibrillary tangles,神经病理学研究用于研究神经纤维缠结
Protein,β-amyloid,forms,Pathological_Change,neuritic plaques,β-淀粉样蛋白形成神经炎性斑块
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病的症状包括记忆力丧失
Disease,Alzheimer's disease,has_biomarker,Biomarker,tau,阿尔茨海默病的生物标志物包括tau蛋白
Disease,Alzheimer's disease,affects,Brain_Region,brain,阿尔茨海默病会影响大脑区域
Disease,Alzheimer's disease,diagnosed_by,Clinical_Test,DSM-III-R,阿尔茨海默病通过DSM-III-R标准诊断
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,neurofibrillary tangles,阿尔茨海默病的病理改变包括神经纤维缠结
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,cognitive impairment,阿尔茨海默病的主要症状是认知障碍
Disease,Alzheimer's disease,is_staged_by,Clinical_Stage,dementia,阿尔茨海默病的分期包括痴呆
Disease,Alzheimer's disease,has_biomarker,Biomarker,β-amyloid,阿尔茨海默病的生物标志物包括β-淀粉样蛋白
Research_Method,clinical-pathologic study,studies,Disease,Alzheimer's disease,临床病理学研究用于研究阿尔茨海默病
Disease,Alzheimer's disease,is_staged_by,Clinical_Stage,major neurocognitive disorder,阿尔茨海默病的分期包括重度神经认知障碍
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,nonamnestic syndromes,阿尔茨海默病可能表现为非遗忘性综合征
Imaging_Method,β-amyloid PET,detects,Biomarker,β-amyloid,β-淀粉样蛋白PET成像用于检测β-淀粉样蛋白
Disease,Alzheimer's disease,diagnosed_by,Imaging_Method,brain imaging,脑影像学用于阿尔茨海默病的诊断
Disease,Alzheimer's disease,associated_with,Pathological_Change,neuritic plaques,阿尔茨海默病与神经炎性斑块相关
Disease,Alzheimer's disease,has_stage,Clinical_Stage,prodromal AD,阿尔茨海默病的前驱期称为前驱性AD
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,visual variant,阿尔茨海默病可能表现为视觉变异型
Disease,Alzheimer's disease,excludes,Disease,other neurodegenerative diseases,阿尔茨海默病诊断需排除其他神经退行性疾病
Disease,Alzheimer's disease,has_stage,Clinical_Stage,atypical AD,阿尔茨海默病的非典型期称为非典型AD
Disease,Alzheimer's disease,has_stage,Clinical_Stage,amnestic MCI,遗忘性轻度认知障碍是阿尔茨海默病的早期表现
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,neuritic plaques,阿尔茨海默病的病理改变包括神经炎斑块
