Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Treatment,tooth extraction,triggers,Pathological_Change,neuronal loss,牙齿缺失引发神经元丢失
Protein,cleaved caspase-3,indicates,Pathological_Change,apoptosis,cleaved caspase-3表明细胞凋亡
Disease,Alzheimer's disease,affects,Brain_Region,trigeminal mesencephalic nucleus,阿尔茨海默病影响三叉神经中脑核
Disease,Alzheimer's disease,affects,Brain_Region,locus coeruleus,阿尔茨海默病影响蓝斑核
Protein,p-Tau,accumulates_in,Brain_Region,trigeminal mesencephalic nucleus,p-Tau蛋白在三叉神经中脑核中积累
Brain_Region,LC neurons,affects,Brain_Region,hippocampus,LC神经元影响海马体功能
Research_Method,immunofluorescence,detects,Protein,amyloid-beta,免疫荧光法检测淀粉样蛋白
Protein,Aβ42,damages,Brain_Region,LC neurons,Aβ42对LC神经元造成损伤
Disease,Alzheimer's disease,affects,Brain_Region,locus coeruleus,阿尔茨海默病首先影响蓝斑区域
Risk_Factor,periodontal disease,increases_risk_of,Disease,Alzheimer's disease,牙周疾病是阿尔茨海默病进展的风险因素
Protein,Aβ42,released_from,Brain_Region,Vmes neurons,Aβ42从Vmes神经元释放
Brain_Region,Vmes neurons,is_affected_by,Risk_Factor,tooth extraction,Vmes神经元受牙齿缺失影响
Gene,PS1 M146V,associated_with,Disease,Alzheimer's disease,PS1 M146V基因与阿尔茨海默病相关
Protein,amyloid-beta,accumulates_in,Brain_Region,trigeminal mesencephalic nucleus,淀粉样蛋白在三叉神经中脑核中积累
Risk_Factor,tooth loss,increases_risk_of,Disease,Alzheimer's disease,牙齿缺失是阿尔茨海默病进展的风险因素
Research_Method,immunohistochemistry,detects,Protein,phosphorylated tau,免疫组化用于检测磷酸化tau蛋白
Risk_Factor,tooth extraction,accelerates,Disease,Alzheimer's disease,牙齿缺失加速阿尔茨海默病的进展
Gene,APP swe,associated_with,Disease,Alzheimer's disease,APP swe基因与阿尔茨海默病相关
Protein,amyloid-beta,accumulates_in,Brain_Region,locus coeruleus,淀粉样蛋白在蓝斑核中积累
Protein,Aβ42,triggers,Pathological_Change,microglia activation,Aβ42触发小胶质细胞激活
Risk_Factor,aging,increases_risk_of,Disease,Alzheimer's disease,衰老是阿尔茨海默病的主要风险因素
Brain_Region,locus coeruleus,affected_by,Brain_Region,mesencephalic trigeminal neuron loss,蓝斑受中脑三叉神经元死亡影响
Protein,amyloid-beta,accumulates_in,Brain_Region,hippocampus,淀粉样蛋白在海马体中积累
Clinical_Stage,mild cognitive impairment,precedes,Disease,Alzheimer's disease,轻度认知障碍是阿尔茨海默病的前期阶段
Pathological_Change,neuronal loss,occurs_in,Brain_Region,hippocampus,海马体发生神经元丢失
Protein,amyloid-β,derived_from,Protein,amyloid-β protein precursor,淀粉样蛋白由淀粉样蛋白前体蛋白衍生
Gene,tau P301L,associated_with,Disease,Alzheimer's disease,tau P301L基因与阿尔茨海默病相关
Protein,amyloid-β,accumulates_in,Brain_Region,brainstem,淀粉样蛋白在脑干中沉积
Protein,Aβ42,accumulates_in,Brain_Region,Vmes neurons,Aβ42在Vmes神经元中积累
Protein,Aβ42,is_toxic_to,Neuron,Vmes neurons,Aβ42对Vmes神经元具有毒性
Research_Method,immunofluorescence,detects,Protein,cleaved caspase-3,免疫荧光法检测cleaved caspase-3蛋白
Research_Method,immunofluorescence,detects,Protein,p-Tau,免疫荧光法检测p-Tau蛋白
Imaging_Method,fluorescence imaging,detects,Protein,Aβ42,荧光成像检测到Aβ42
Clinical_Test,Barnes maze,assesses,Clinical_Manifestation,spatial learning and memory,Barnes迷宫用于评估空间学习和记忆能力
Disease,Alzheimer's disease,characterized_by,Pathological_Change,neurofibrillary tangles,阿尔茨海默病的病理特征为神经纤维缠结
Clinical_Test,Barnes maze,assesses,Clinical_Manifestation,cognitive function,Barnes迷宫用于评估认知功能
Research_Method,immunocytochemistry,detects,Protein,cleaved caspase-3,免疫细胞化学检测到cleaved caspase-3
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会导致海马体区域受损
Clinical_Stage,MCI,is_associated_with,Disease,Alzheimer's disease,MCI阶段与阿尔茨海默病相关
Brain_Region,mesencephalic trigeminal nucleus,connected_to,Brain_Region,hippocampus,中脑三叉神经核与海马体存在神经连接
Brain_Region,Vmes neurons,projects_to,Brain_Region,LC neurons,Vmes神经元投射到LC神经元
Brain_Region,mesencephalic trigeminal nucleus,affected_by,Risk_Factor,tooth loss,中脑三叉神经核受牙齿缺失影响
Disease,Alzheimer's disease,has_biomarker,Biomarker,Aβ,阿尔茨海默病的生物标志物包括Aβ沉积
Pathological_Change,neuronal loss,occurs_in,Brain_Region,locus coeruleus,蓝斑核发生神经元丢失
Pathological_Change,neuronal loss,occurs_in,Brain_Region,trigeminal mesencephalic nucleus,三叉神经中脑核发生神经元丢失
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病的主要症状包括记忆力丧失
Treatment,tooth extraction,triggers,Pathological_Change,neurodegeneration,牙齿缺失触发神经退行性变
Disease,Alzheimer's disease,affects,Brain_Region,Vmes neurons,阿尔茨海默病影响Vmes神经元
