Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Pathological_Change,cholinergic degeneration,observed_in,Brain_Region,hippocampus,阿尔茨海默病小鼠海马体中出现胆碱能退化
Protein,ChAT,reduced_in,Brain_Region,medial prefrontal cortex,阿尔茨海默病小鼠内侧前额叶皮层中ChAT蛋白表达减少
Gene,miR-144-3p,causes,Pathological_Change,cholinergic degeneration,miR-144-3p过表达导致胆碱能退化
Gene,miR-144-3p,targets,Protein,tPA,miR-144-3p靶向抑制tPA的表达
Protein,tPA,reduced_in,Brain_Region,hippocampus,阿尔茨海默病小鼠海马体中tPA蛋白水平显著降低
Treatment,galantamine,treats,Disease,Alzheimer's disease,加兰他敏是治疗阿尔茨海默病的药物
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Gene,miR-144-3p,increased_in,Brain_Region,medial prefrontal cortex,阿尔茨海默病小鼠内侧前额叶皮层中miR-144-3p水平增加
Biomarker,proNGF/NGF ratio,indicates,Disease,Alzheimer's disease,proNGF/NGF比例增加是阿尔茨海默病的生物标志物
Clinical_Test,where-which test,evaluates,Clinical_Manifestation,context-place memory,where-which测试用于评估情境-位置记忆
Protein,proNGF,is_precursor_of,Protein,NGF,proNGF是NGF的前体
Gene,miR-144-3p,regulates,Protein,tPA,miR-144-3p通过结合tPA的3'-UTR调控其翻译
Research_Method,APP/PS1 mouse model,models,Disease,Alzheimer's disease,APP/PS1小鼠模型用于研究阿尔茨海默病
Risk_Factor,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因是阿尔茨海默病的重要风险因素
Gene,miR-144-3p,causes,Pathological_Change,synaptic/memory deficits,miR-144-3p过表达导致突触/记忆缺陷
Treatment,rivastigmine,treats,Disease,Alzheimer's disease,利斯的明是治疗阿尔茨海默病的药物
Protein,NGF,decreases_in,Brain_Region,hippocampus,阿尔茨海默病小鼠海马体中NGF蛋白水平降低
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病的主要症状是记忆力丧失
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,synaptic disorders,阿尔茨海默病的病理特征之一是突触功能障碍
Gene,miR-144-3p,represses,Protein,tPA,miR-144-3p抑制tPA的翻译
Gene,miR-144-3p,increased_in,Brain_Region,hippocampus,阿尔茨海默病小鼠海马体中miR-144-3p水平增加
Biomarker,proNGF/NGF ratio,increased_in,Disease,Alzheimer's disease,阿尔茨海默病小鼠中proNGF/NGF比例失衡
Research_Method,electrophysiological recording,detects,Pathological_Change,synaptic plasticity impairment,电生理记录检测到阿尔茨海默病小鼠突触可塑性障碍
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会影响海马体功能
Protein,tPA,decreases_in,Brain_Region,hippocampus,阿尔茨海默病小鼠海马体中tPA蛋白水平降低
Imaging_Method,immunohistochemistry,detects,Pathological_Change,cholinergic degeneration,免疫组化检测胆碱能神经元退化
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病影响海马体区域
Treatment,miR-144-3p antagomir,rescues,Disease,Alzheimer's disease,miR-144-3p antagomir可改善阿尔茨海默病症状
Research_Method,immunohistochemistry,detects,Pathological_Change,cholinergic fiber loss,免疫组化检测到阿尔茨海默病小鼠胆碱能纤维丢失
Protein,proNGF,has_abnormal_ratio_with,Protein,NGF,阿尔茨海默病患者中proNGF/NGF比例增加
Treatment,antagomir of miR-144-3p,rescues,Pathological_Change,cholinergic degeneration,miR-144-3p拮抗剂部分恢复胆碱能退化
Protein,ChAT,decreases_in,Brain_Region,hippocampus,阿尔茨海默病小鼠海马体中ChAT蛋白水平降低
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查用于评估认知功能
Disease,Alzheimer's disease,affects,Brain_Region,medial prefrontal cortex,阿尔茨海默病影响内侧前额叶皮层
Research_Method,Q-PCR,measures,Gene,miR-144-3p,定量PCR检测miR-144-3p表达水平
Protein,tPA,processes,Protein,proNGF,组织纤溶酶原激活剂参与proNGF的成熟过程
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,memory impairments,阿尔茨海默病的病理特征之一是记忆障碍
Research_Method,western blotting,measures,Protein,ChAT,蛋白质印迹法检测ChAT蛋白水平
Research_Method,luciferase reporter assay,detects,Gene,miR-144-3p regulation,荧光素酶报告系统检测miR-144-3p对tPA的调控
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,cholinergic degeneration,阿尔茨海默病的病理特征之一是胆碱能退化
Protein,plasmin,reduced_in,Brain_Region,hippocampus,阿尔茨海默病小鼠海马体中plasmin蛋白水平显著降低
Biomarker,tPA,reduced_in,Disease,Alzheimer's disease,tPA水平在阿尔茨海默病患者中降低
Protein,plasmin,decreases_in,Brain_Region,hippocampus,阿尔茨海默病小鼠海马体中plasmin蛋白水平降低
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病会导致记忆力丧失
Gene,miR-144-3p,increases_in,Brain_Region,hippocampus,阿尔茨海默病小鼠海马体中miR-144-3p表达增加
Protein,tau,forms,Pathological_Change,tauopathy,tau蛋白异常形成tau病变
Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐是治疗阿尔茨海默病的药物
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会导致海马体区域受损
Treatment,antagomir of miR-144-3p,rescues,Pathological_Change,synaptic/memory impairments,miR-144-3p拮抗剂部分恢复突触/记忆缺陷
Protein,ChAT,reduced_in,Brain_Region,hippocampus,阿尔茨海默病小鼠海马体中ChAT蛋白表达减少
Protein,NGF,regulates,Protein,ChAT,神经生长因子调节胆碱乙酰转移酶的表达和活性
Pathological_Change,cholinergic degeneration,observed_in,Brain_Region,medial prefrontal cortex,阿尔茨海默病小鼠内侧前额叶皮层中出现胆碱能退化
Clinical_Manifestation,synaptic plasticity impairment,associated_with,Disease,Alzheimer's disease,阿尔茨海默病小鼠表现出突触可塑性障碍
Imaging_Method,MRI,detects,Pathological_Change,brain atrophy,核磁共振可以检测到脑萎缩情况
Research_Method,electrophysiological recording,evaluates,Pathological_Change,synaptic transmission,电生理记录评估突触传递功能
Treatment,miR-144-3p antagomir,rescues,Disease,Alzheimer's disease,抑制miR-144-3p可挽救阿尔茨海默病小鼠的胆碱能退化和记忆障碍
Research_Method,ELISA,measures,Protein,NGF,ELISA检测NGF蛋白水平
Clinical_Manifestation,memory impairment,associated_with,Disease,Alzheimer's disease,阿尔茨海默病小鼠表现出记忆障碍
