Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,IV ventricle,神经纤维缠结在第四脑室中发现
Gene,APOE,associated_with,Disease,Alzheimer's disease,APOE基因与阿尔茨海默病相关
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,bloodstream,神经纤维缠结在血液中发现
Biomarker,IL-1β,produced_by,Protein,endothelial cells,IL-1β由内皮细胞产生
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,oral cavity,神经纤维缠结在口腔中发现
Pathological_Change,senile plaques,found_in,Brain_Region,brain,老年斑在大脑中发现
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,nitrous oxide,神经纤维缠结在一氧化氮中发现
Risk_Factor,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因增加阿尔茨海默病的风险
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,fenestrated capillaries,神经纤维缠结
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,cortex,神经纤维缠结在大脑皮层中发现
Biomarker,IL-1β,spreads_to,Brain_Region,brain,IL-1β扩散到大脑
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,blood-brain barrier,神经纤维缠结在血脑屏障中发现
Protein,Tau,forms,Pathological_Change,neurofibrillary tangles,Tau蛋白形成神经纤维缠结
Biomarker,TNF-α,spreads_to,Brain_Region,brain,TNF-α扩散到大脑
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,Ammon's horn,神经纤维缠结在阿蒙角区域中发现
Biomarker,IL-6,produced_by,Protein,endothelial cells,IL-6由内皮细胞产生
Gene,BACE,associated_with,Disease,Alzheimer's disease,BACE基因与阿尔茨海默病相关
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,trigeminal ganglion,神经纤维缠结在三叉神经节中发现
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,fourth ventricle,神经纤维缠结在第四脑室中发现
Pathological_Change,neuroinflammation,may_trigger,Disease,Alzheimer's disease,神经炎症可能触发阿尔茨海默病
Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐用于治疗阿尔茨海默病
Biomarker,IL-1β,produced_by,Protein,microglia,IL-1β由小胶质细胞产生
Gene,APP,associated_with,Disease,Alzheimer's disease,APP基因与阿尔茨海默病相关
Pathological_Change,neurofibrillary tangles,found_in,Brain_Region,CA3,神经纤维缠结在CA3区域中发现
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
