Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,Alzheimer's disease,has_subtype,Clinical_Stage,early-onset Alzheimer's disease,阿尔茨海默病分为早发性和晚发性两种亚型
Pathological_Change,phagocytosis,enriched_in,Gene,CD2AP,吞噬作用病理改变在CD2AP基因中富集
Research_Method,linear regression,analyzes,Gene,expression effects,线性回归用于分析基因表达效应
Clinical_Manifestation,loss of insight,associated_with,Disease,Alzheimer's disease,洞察力丧失与阿尔茨海默病相关
Research_Method,transcriptomic analysis,analyzes,Disease,Alzheimer's disease,转录组分析用于研究阿尔茨海默病
Clinical_Manifestation,paranoia,associated_with,Disease,Alzheimer's disease,偏执与阿尔茨海默病相关
Pathological_Change,inflammation,enriched_in,Gene,APOE,炎症病理改变在APOE基因中富集
Research_Method,pathway analysis,identifies,Pathological_Change,enriched pathways,通路分析用于识别富集通路
Brain_Region,microglia,associated_with,Pathological_Change,inflammation,小胶质细胞与炎症病理改变相关
Research_Method,Tukey-HSD,analyzes,Gene,expression differences,Tukey-HSD用于分析基因表达差异
Clinical_Manifestation,difficulty in completing familiar tasks,associated_with,Disease,Alzheimer's disease,完成熟悉任务困难与阿尔茨海默病相关
Risk_Factor,immune system dysfunction,increases_risk_of,Disease,late-onset Alzheimer's disease,免疫系统功能障碍是晚发性阿尔茨海默病的风险因素
Clinical_Manifestation,delusions,associated_with,Disease,Alzheimer's disease,妄想与阿尔茨海默病相关
Protein,amyloid-beta,forms,Pathological_Change,amyloid plaques,淀粉样蛋白形成淀粉样斑块
Research_Method,Pearson correlation,analyzes,Gene,expression patterns,皮尔逊相关性用于分析基因表达模式
Clinical_Stage,early-onset Alzheimer's disease,has_risk_factor,Gene,PSEN1,早发性阿尔茨海默病与PSEN1基因相关
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查用于评估认知功能
Clinical_Manifestation,repetitive behaviors,associated_with,Disease,Alzheimer's disease,重复行为与阿尔茨海默病相关
Clinical_Stage,LOAD,associated_with,Gene,APOE,晚发性阿尔茨海默病与APOE基因相关
Pathological_Change,neurofibrillary tangles,associated_with,Disease,Alzheimer's disease,神经纤维缠结与阿尔茨海默病相关
Gene,PSEN1,associated_with,Disease,early-onset Alzheimer's disease,PSEN1基因与早发性阿尔茨海默病相关
Gene,CSF1R,increases_risk_of,Disease,Alzheimer's disease,CSF1R基因增加阿尔茨海默病风险
Risk_Factor,synaptic dysfunction,increases_risk_of,Disease,late-onset Alzheimer's disease,突触功能障碍是晚发性阿尔茨海默病的风险因素
Research_Method,orthologous genes,identifies,Gene,orthology,同源基因用于识别基因同源性
Brain_Region,organelle biogenesis,associated_with,Pathological_Change,lipid metabolism,细胞器生物合成与脂质代谢病理改变相关
Gene,PSEN1,increases_risk_of,Disease,Alzheimer's disease,PSEN1基因增加阿尔茨海默病风险
Clinical_Manifestation,language difficulties,associated_with,Disease,Alzheimer's disease,语言困难与阿尔茨海默病相关
Brain_Region,neuronal system,associated_with,Pathological_Change,neuronal dysfunction,神经元系统与神经元功能障碍病理改变相关
Research_Method,DESeq2,analyzes,Gene,differential expression,DESeq2用于分析基因差异表达
Research_Method,batch correction,adjusts,Gene,expression data,批次校正用于调整基因表达数据
Pathological_Change,amyloid plaques,associated_with,Disease,Alzheimer's disease,淀粉样斑块与阿尔茨海默病相关
Gene,BIN1,increases_risk_of,Disease,late-onset Alzheimer's disease,BIN1基因是晚发性阿尔茨海默病的风险基因
Risk_Factor,APOEε4,increases_risk_of,Disease,late-onset Alzheimer's disease,APOEε4等位基因增加晚发性阿尔茨海默病的风险
