Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Risk_Factor,concomitant antidepressant use,affects,Clinical_Test,TMSE,同时使用抗抑郁药与TMSE评分恶化相关
Risk_Factor,concomitant memantine use,affects,Clinical_Test,TMSE,同时使用美金刚与TMSE评分变化相关
Research_Method,multivariate analysis,analyzes,Clinical_Manifestation,TMSE,多变量分析用于评估TMSE评分
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Clinical_Stage,moderate AD,has_symptom,Clinical_Manifestation,severe cognitive decline,中度阿尔茨海默病伴随严重认知衰退
Risk_Factor,depression,affects,Clinical_Manifestation,cognitive function,抑郁症影响认知功能
Research_Method,multiple linear regression analysis,analyzes,Treatment,donepezil,多元线性回归分析用于解释多奈哌齐治疗结果的影响因素
Risk_Factor,age,affects,Treatment,donepezil,年龄可能影响多奈哌齐的治疗反应
Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐用于治疗阿尔茨海默病
Risk_Factor,age,increases_risk_of,Disease,Alzheimer's disease,年龄是阿尔茨海默病的风险因素
Protein,acetylcholinesterase,affected_by,Treatment,donepezil,多奈哌齐抑制乙酰胆碱酯酶活性
Risk_Factor,education level,affects,Clinical_Manifestation,cognitive function,教育水平影响认知功能
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病的主要症状是记忆力丧失
Research_Method,multivariate analysis,analyzes,Clinical_Test,TMSE,多变量分析用于分析TMSE数据
Clinical_Test,TMSE,evaluates,Clinical_Manifestation,cognitive function,泰国精神状态检查用于评估认知功能
Treatment,antidepressants,affects,Treatment,donepezil,抗抑郁药物影响多奈哌齐的疗效
Gene,CYP2D6,affects,Clinical_Test,TMSE,CYP2D6基因表型影响TMSE评分
Treatment,antidepressant drugs,reduces,Clinical_Manifestation,TMSE,抗抑郁药物减弱多奈哌齐的临床反应
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会影响海马体
Gene,CYP2D6*10,increases_risk_of,Disease,Alzheimer's disease,CYP2D6*10基因增加阿尔茨海默病的风险
Disease,Alzheimer's disease,treated_with,Treatment,donepezil,多奈哌齐用于治疗阿尔茨海默病
Gene,CYP2D6*10,affects,Treatment,donepezil,CYP2D6*10基因影响多奈哌齐的治疗效果
Gene,CYP2D6,classified_as,Clinical_Manifestation,metabolizer phenotypes,CYP2D6基因分为不同代谢表型
Gene,APOE,affects,Treatment,donepezil,APOE基因影响多奈哌齐的代谢
Risk_Factor,concomitant antidepressant treatment,affects,Treatment,donepezil,同时使用抗抑郁药可能减弱多奈哌齐的临床效果
Gene,CYP2D6,affects,Treatment,donepezil,CYP2D6基因影响多奈哌齐的代谢
Clinical_Test,TMSE,evaluates,Clinical_Manifestation,cognitive function,泰国精神状态检查评估认知功能
Gene,ABCB1,encodes,Protein,P-glycoprotein,ABCB1基因编码P-糖蛋白
Risk_Factor,age,affects,Treatment,donepezil,年龄影响多奈哌齐的治疗反应
Risk_Factor,creatinine clearance,affects,Treatment,donepezil,肌酐清除率影响多奈哌齐的代谢
Risk_Factor,concomitant memantine use,affects,Treatment,donepezil,同时使用美金刚可能增加多奈哌齐的血药浓度
Gene,APOE ε4,increases_risk_of,Disease,Alzheimer's disease,APOE ε4等位基因增加阿尔茨海默病的风险
Gene,ABCB1,affects,Treatment,donepezil,ABCB1基因影响多奈哌齐的代谢
Gene,CYP3A5,affects,Treatment,donepezil,CYP3A5基因影响多奈哌齐的代谢
Disease,vascular dementia,treated_by,Treatment,donepezil,多奈哌齐用于治疗血管性痴呆
Treatment,memantine,enhances,Treatment,donepezil,美金刚增强多奈哌齐的疗效
Clinical_Stage,mild AD,has_symptom,Clinical_Manifestation,mild cognitive decline,轻度阿尔茨海默病伴随轻度认知衰退
Treatment,memantine,increases,Biomarker,Cpss,美金刚增加多奈哌齐的稳态血浆浓度
Gene,CYP2D6*10,improves,Clinical_Manifestation,TMSE,CYP2D6*10等位基因改善认知功能评分
Gene,APOE ε4,increases_risk_of,Disease,Alzheimer's disease,APOE ε4基因增加阿尔茨海默病的风险
Clinical_Test,TMSE,evaluates,Clinical_Manifestation,cognitive function,TMSE用于评估认知功能
Disease,Alzheimer's disease,treated_by,Treatment,donepezil,多奈哌齐用于治疗阿尔茨海默病
Gene,CYP2D6*10,increases,Biomarker,Cpss,CYP2D6*10等位基因增加多奈哌齐的稳态血浆浓度
Clinical_Test,UPLC-PDA,measures,Biomarker,Cpss,超高效液相色谱法测定多奈哌齐的稳态血浆浓度
Disease,Alzheimer's disease,affects,Brain_Region,frontal cortex,阿尔茨海默病会影响额叶皮层
Pathological_Change,brain atrophy,detected_by,Imaging_Method,MRI,脑萎缩可通过MRI检测
Research_Method,univariate analysis,analyzes,Clinical_Manifestation,TMSE,单变量分析用于评估TMSE评分
