Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Research_Method,phosphoproteomics,analyzes,Protein,phosphorylation measurement,磷酸化蛋白质组学用于分析磷酸化测量
Disease,Alzheimer's disease,affects,Protein,PKACA,阿尔茨海默病影响PKACA蛋白的表达
Research_Method,phosphoproteomics,analyzes,Protein,phosphorylation outcomes,磷酸化蛋白质组学用于分析磷酸化结果
Disease,Alzheimer's disease,affects,Protein,CAMKK1,阿尔茨海默病影响CAMKK1蛋白的表达
Research_Method,phosphoproteomics,analyzes,Protein,oligodendrocyte pathologies,磷酸化蛋白质组学用于分析少突胶质细胞病理
Research_Method,mass spectrometry,analyzes,Protein,proteome,质谱分析用于研究蛋白质组
Disease,Alzheimer's disease,affects,Protein,CASKIN1,阿尔茨海默病影响CASKIN1蛋白的表达
Research_Method,phosphoproteomics,analyzes,Protein,phosphorylation sites,磷酸化蛋白质组学用于分析磷酸化位点
Research_Method,phosphoproteomics,analyzes,Protein,histopathologies,磷酸化蛋白质组学用于分析组织病理学
Disease,Alzheimer's disease,affects,Protein,NEFL,阿尔茨海默病影响NEFL蛋白的表达
Research_Method,phosphoproteomics,analyzes,Protein,phosphorylation levels,磷酸化蛋白质组学用于分析磷酸化水平
Research_Method,phosphoproteomics,analyzes,Protein,kinase activity,磷酸化蛋白质组学用于分析激酶活性
Disease,Alzheimer's disease,affects,Protein,TNIK,阿尔茨海默病影响TNIK蛋白的表达
Disease,Alzheimer's disease,associated_with,Protein,GNA13,GNA13蛋白与阿尔茨海默病相关
Research_Method,phosphoproteomics,analyzes,Protein,phosphorylation awareness,磷酸化蛋白质组学用于分析磷酸化意识
Research_Method,mass spectrometry,analyzes,Protein,phosphoproteome,质谱分析用于研究磷酸化蛋白质组
Disease,Alzheimer's disease,affects,Protein,MAPT,阿尔茨海默病影响MAPT蛋白的表达
Disease,Alzheimer's disease,affects,Protein,NEFM,阿尔茨海默病影响NEFM蛋白的表达
Research_Method,phosphoproteomics,analyzes,Protein,phosphorylation patterns,磷酸化蛋白质组学用于分析磷酸化模式
Protein,CDK17,correlated_with,Pathological_Change,AD pathologies,CDK17蛋白与阿尔茨海默病病理学相关
Clinical_Stage,Braak IV-VI,associated_with,Disease,Alzheimer's disease,Braak IV-VI期与阿尔茨海默病相关
Protein,SRC,phosphorylated_in,Disease,Alzheimer's disease,SRC蛋白在阿尔茨海默病中被磷酸化
Disease,Alzheimer's disease,affects,Protein,CNDP1,阿尔茨海默病影响CNDP1蛋白的表达
Research_Method,phosphoproteomics,analyzes,Protein,co-correlated signaling networks,磷酸化蛋白质组学用于分析共相关信号网络
Research_Method,phosphoproteomics,analyzes,Protein,microglia pathologies,磷酸化蛋白质组学用于分析小胶质细胞病理
Disease,Alzheimer's disease,affects,Protein,CDKL5,阿尔茨海默病影响CDKL5蛋白的表达
Disease,Alzheimer's disease,affects,Protein,C4A,阿尔茨海默病影响C4A蛋白的表达
Disease,Alzheimer's disease,affects,Protein,TTBK1,阿尔茨海默病影响TTBK1蛋白的表达
Research_Method,phosphoproteomics,analyzes,Protein,phosphopeptide abundances,磷酸化蛋白质组学用于分析磷酸化肽丰度
Research_Method,phosphoproteomics,analyzes,Protein,phosphorylation networks,磷酸化蛋白质组学用于分析磷酸化网络
Disease,Alzheimer's disease,affects,Protein,CDK17,阿尔茨海默病影响CDK17蛋白的表达
Research_Method,proteomics,used_to_study,Disease,Alzheimer's disease,蛋白质组学用于研究阿尔茨海默病
Disease,Alzheimer's disease,affects,Protein,SYT1,阿尔茨海默病影响SYT1蛋白的表达
Research_Method,phosphoproteomics,analyzes,Protein,phospho-Tau levels,磷酸化蛋白质组学用于分析磷酸化Tau蛋白水平
Research_Method,phosphoproteomics,analyzes,Protein,neuronal levels,磷酸化蛋白质组学用于分析神经元水平
Research_Method,phosphoproteomics,analyzes,Protein,phosphorylation insights,磷酸化蛋白质组学用于分析磷酸化见解
Research_Method,phosphoproteomics,analyzes,Protein,phosphorylation regulation,磷酸化蛋白质组学用于分析磷酸化调控
Research_Method,phosphoproteomics,analyzes,Protein,astrocyte pathologies,磷酸化蛋白质组学用于分析星形胶质细胞病理
Disease,Alzheimer's disease,affects,Protein,CKB,阿尔茨海默病影响CKB蛋白的表达
Disease,Alzheimer's disease,affects,Protein,CLDND1,阿尔茨海默病影响CLDND1蛋白的表达
Disease,Alzheimer's disease,associated_with,Pathological_Change,myelination response,髓鞘形成反应与阿尔茨海默病相关
Disease,Alzheimer's disease,affects,Protein,NEFH,阿尔茨海默病影响NEFH蛋白的表达
Disease,Alzheimer's disease,affects,Protein,MAPK11,阿尔茨海默病影响MAPK11蛋白的表达
Disease,Alzheimer's disease,characterized_by,Pathological_Change,amyloid-β plaques,阿尔茨海默病以淀粉样蛋白斑块为特征
Disease,Alzheimer's disease,affects,Protein,MAPK10,阿尔茨海默病影响MAPK10蛋白的表达
Disease,Alzheimer's disease,affects,Protein,SRC,阿尔茨海默病影响SRC蛋白的表达
Research_Method,TMT labeling,quantifies,Protein,peptide abundances,串联质谱标记用于定量肽丰度
Disease,Alzheimer's disease,characterized_by,Pathological_Change,Tau neurofibrillary tangles,阿尔茨海默病以Tau蛋白神经纤维缠结为特征
Research_Method,phosphoproteomics,analyzes,Protein,microglia levels,磷酸化蛋白质组学用于分析小胶质细胞水平
Research_Method,phosphoproteomics,analyzes,Protein,phosphorylation findings,磷酸化蛋白质组学用于分析磷酸化发现
Disease,Alzheimer's disease,associated_with,Protein,Tau,Tau蛋白与阿尔茨海默病诊断密切相关
Research_Method,phosphoproteomics,analyzes,Protein,phosphorylation results,磷酸化蛋白质组学用于分析磷酸化结果
Disease,Alzheimer's disease,affects,Protein,MAPK1,阿尔茨海默病影响MAPK1蛋白的表达
Disease,Alzheimer's disease,affects,Protein,PKCA,阿尔茨海默病影响PKCA蛋白的表达
Research_Method,phosphoproteomics,analyzes,Protein,astrocyte levels,磷酸化蛋白质组学用于分析星形胶质细胞水平
Disease,Alzheimer's disease,affects,Protein,MAPK14,阿尔茨海默病影响MAPK14蛋白的表达
