Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
<Protein,apoE4,impairs,Pathological_Change,neuroinflammation,apoE4表达导致神经炎症>
Protein,apoE4,exacerbates,Pathological_Change,neuroinflammation,apoE4加剧神经炎症
Protein,apoE4,impairs,Pathological_Change,calcineurin/NFAT-signaling,apoE4
<Risk_Factor,APOE4,affects,Clinical_Manifestation,response to diet,APOE4影响饮食反应>
Disease,Alzheimer's disease,has_risk_factor,Gene,APOE2,APOE2基因对阿尔茨海默病具有保护作用
<Protein,apoE4,impairs,Pathological_Change,lipid metabolism,apoE4表达损害脂质代谢>
<Protein,apoE,affects,Pathological_Change,inflammatory signaling,apoE影响炎症信号>
<Gene,APOE4,affects,Pathological_Change,metabolic syndrome,APOE4基因与代谢综合征的患病率和风险增加相关>
Protein,apoE4,impairs,Pathological_Change,dendritic spine density,apoE4损害树突棘密度
<Disease,Alzheimer's disease,has_risk_factor,Gene,APOE4,APOE4基因是阿尔茨海默病的重要风险因素>
<Risk_Factor,APOE4,affects,Clinical_Manifestation,melatonin levels,APOE4影响褪黑素水平>
<Risk_Factor,APOE4,associated_with,Clinical_Manifestation,reduced plasma apoE levels,APOE4携带者血浆apoE水平降低>
Protein,apoE4,impairs,Pathological_Change,capillary blood flow,apoE4损害毛细血管血流
<Protein,apoE4,impairs,Pathological_Change,amyloid deposition,apoE4表达促进淀粉样蛋白沉积>
<Protein,apoE4,impairs,Pathological_Change,amyloid-independent pathways,APOE4基因影响淀粉样蛋白非依赖性通路>
<Protein,apoE4,impairs,Pathological_Change,synaptic function,apoE4表达损害突触功能>
Protein,apoE4,impairs,Pathological_Change,Aβ clearance,apoE4损害Aβ清除
Protein,apoE4,impairs,Pathological_Change,capillary pericyte function,apoE4损害毛细血管周细胞功能
<Protein,apoE4,impairs,Pathological_Change,amyloid-related imaging abnormalities,APOE4基因与淀粉样蛋白相关影像异常相关>
<Risk_Factor,APOE4,associated_with,Clinical_Manifestation,increased plasma glucose levels,APOE4携带者血浆葡萄糖水平升高>
<Risk_Factor,APOE4,affects,Clinical_Manifestation,gut microbiome,APOE4影响肠道微生物群>
<Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐治疗阿尔茨海默病>
<Risk_Factor,APOE4,associated_with,Clinical_Manifestation,impaired cerebral glucose metabolism,APOE4携带者脑葡萄糖代谢受损>
Protein,apoE2,reduces_risk_of,Disease,Alzheimer's disease,apoE2降低阿尔茨海默病的风险
<Gene,APOE4,increases_risk_of,Disease,cardiovascular disease,APOE4基因增加心血管疾病的风险>
<Treatment,melatonin,improves,Clinical_Manifestation,sleep time,褪黑素改善睡眠时间>
<Clinical_Manifestation,sleep disturbances,associated_with,Pathological_Change,Aβ and tau aggregation,睡眠障碍与Aβ和tau聚集相关>
<Protein,apoE4,impairs,Pathological_Change,brain hemorrhage,APOE4基因与脑出血相关>
<Protein,apoE4,alters,Pathological_Change,cholesterol metabolism,apoE4表达改变胆固醇代谢>
<Protein,miRNA-33,affects,Pathological_Change,Aβ metabolism,miRNA-33影响Aβ代谢>
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
<Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,cardiovascular disease,心血管疾病是阿尔茨海默病的共病之一>
<Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查评估认知功能>
<Protein,apoE,affects,Pathological_Change,synaptic loss,apoE影响突触损失>
Protein,apoE4,impairs,Pathological_Change,cyclophilin A-matrix metalloproteinase-9 pathway,apoE4损害环孢素A-基质金属蛋白酶9通路
Protein,apoE,mediates,Pathological_Change,lipid transport,apoE介导脂质运输
<Protein,apoE4,impairs,Pathological_Change,immune response,apoE4表达损害免疫反应>
<Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,type 2 diabetes mellitus,2型糖尿病是阿尔茨海默病的共病之一>
<Protein,apoE4,impairs,Pathological_Change,phagocytosis,apoE4表达损害吞噬作用>
<Gene,APOE4,affects,Protein,miRNA-146a,APOE4基因影响miRNA-146a表达>
<Protein,apoE4,impairs,Pathological_Change,amyloid aggregation,apoE4表达促进淀粉样蛋白聚集>
<Protein,apoE4,impairs,Pathological_Change,lipid dysregulation,apoE4表达导致脂质失调>
Protein,apoE4,impairs,Pathological_Change,microglial function,apoE4损害小胶质细胞功能
<Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积>
<Protein,apoE4,impairs,Pathological_Change,myelination,apoE4表达损害髓鞘形成>
<Risk_Factor,APOE4,affects,Clinical_Manifestation,response to exercise,APOE4影响运动反应>
<Protein,apoE4,impairs,Pathological_Change,amyloid-independent mechanisms,APOE4基因影响淀粉样蛋白非依赖性机制>
Protein,apoE4,impairs,Pathological_Change,pericyte function,apoE4损害周细胞功能
<Protein,apoE4,impairs,Pathological_Change,neurodegeneration,apoE4表达促进神经退行性变>
Protein,apoE4,impairs,Pathological_Change,endothelial cell proliferation,apoE4损害内皮细胞增殖
<Gene,APOE4,increases_risk_of,Disease,type 2 diabetes mellitus,APOE4基因增加2型糖尿病的风险>
<Protein,apoE4,impairs,Pathological_Change,amyloid-dependent neuropathologies,APOE4基因影响淀粉样蛋白依赖性神经病理>
Protein,apoE4,increases_risk_of,Disease,Alzheimer's disease,apoE4增加阿尔茨海默病的风险
<Treatment,plasmapheresis with albumin replacement,treats,Disease,Alzheimer's disease,血浆置换与白蛋白替换治疗阿尔茨海默病>
Protein,apoE4,impairs,Pathological_Change,synaptic function,apoE4损害突触功能
<Protein,apoE4,impairs,Pathological_Change,cognitive decline,apoE4表达促进认知衰退>
<Protein,apoE4,impairs,Pathological_Change,amyloid-dependent mechanisms,APOE4基因影响淀粉样蛋白依赖性机制>
Protein,apoE4,impairs,Pathological_Change,BBB integrity,apoE4损害血脑屏障完整性
<Protein,DHA,affects,Pathological_Change,BBB integrity,DHA影响血脑屏障完整性>
Protein,apoE4,impairs,Pathological_Change,lipid metabolism,apoE4损害脂质代谢
<Risk_Factor,APOE4,affects,Clinical_Manifestation,DHA metabolism,APOE4影响DHA代谢>
<Protein,apoE4,impairs,Pathological_Change,amyloid seeding,apoE4表达促进淀粉样蛋白种子形成>
<Protein,apoE,affects,Clinical_Manifestation,cognitive function,apoE影响认知功能>
<Treatment,Mediterranean diet,improves,Clinical_Manifestation,cognitive function,地中海饮食改善认知功能>
Protein,apoE4,increases,Pathological_Change,tau phosphorylation,apoE4增加tau蛋白的磷酸化
Protein,apoE4,impairs,Pathological_Change,cholesterol efflux,apoE4损害胆固醇外流
<Protein,apoE4,impairs,Pathological_Change,fatty acid metabolism,apoE4表达损害脂肪酸代谢>
<Protein,apoE4,impairs,Pathological_Change,amyloid-dependent pathways,APOE4基因影响淀粉样蛋白依赖性通路>
<Protein,apoE4,impairs,Pathological_Change,amyloid-independent neuropathologies,APOE4基因影响淀粉样蛋白非依赖性神经病理>
Protein,apoE4,impairs,Pathological_Change,vascular function,apoE4损害血管功能
<Protein,apoE4,impairs,Pathological_Change,Aβ clearance,apoE4表达损害Aβ清除>
<Treatment,ketogenic diet,improves,Clinical_Manifestation,cognition,生酮饮食改善认知>
<Risk_Factor,APOE4,affects,Clinical_Manifestation,sleep disturbances,APOE4影响睡眠障碍>
<Protein,miRNA-33,modulates,Protein,apoE,miRNA-33调节apoE蛋白>
<Protein,miRNA-33,modulates,Protein,ABCA1,miRNA-33调节ABCA1蛋白>
<Protein,apoE4,impairs,Clinical_Manifestation,cerebrovascular functions,apoE4损害脑血管功能>
Protein,apoE4,impairs,Pathological_Change,calcineurin/NFAT-signaling,apoE4损害钙调磷酸酶/NFAT信号通路
Protein,apoE4,seeds,Pathological_Change,amyloid-β plaques,apoE4促进淀粉样斑块的形成
Protein,apoE4,impairs,Pathological_Change,neurite outgrowth,apoE4损害神经突生长
<Gene,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因增加阿尔茨海默病的风险>
Disease,Alzheimer's disease,has_risk_factor,Gene,APOE4,APOE4基因显著增加阿尔茨海默病的风险
<Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病影响海马体区域>
Protein,apoE4,impairs,Pathological_Change,arteriole stiffness,apoE4增加动脉硬化
<Treatment,sesamol,reshapes,Clinical_Manifestation,gut microbiome,芝麻酚重塑肠道微生物群>
<Protein,apoE4,impairs,Pathological_Change,tau pathology,apoE4表达促进tau病理>
<Protein,miRNA-146a,reduces,Clinical_Manifestation,innate immune responses,miRNA-146a减少先天免疫反应>
<Imaging_Method,MRI,detects,Pathological_Change,brain atrophy,核磁共振检测脑萎缩>
<Protein,apoE3,ameliorates,Pathological_Change,BBB damage,apoE3改善血脑屏障损伤>
<Protein,apoE4,impairs,Pathological_Change,brain edema,APOE4基因与脑水肿相关>
