Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Biomarker,memory loss,indicates,Disease,Alzheimer's disease,记忆力丧失作为阿尔茨海默病的生物标志物
Imaging_Method,DTI,detects,Pathological_Change,white matter fiber anomalies,扩散张量成像检测到白质纤维异常
Imaging_Method,functional magnetic resonance imaging (fMRI),detects,Pathological_Change,abnormal functional connectivity,功能性磁共振成像检测到异常的功能连接
Brain_Region,Dorsolateral prefrontal cortex,has_abnormality_in,Disease,Alzheimer's disease,背外侧前额叶皮层在阿尔茨海默病中表现出异常
Biomarker,cognitive decline,indicates,Disease,Alzheimer's disease,认知功能下降作为阿尔茨海默病的生物标志物
Biomarker,dorsomedial prefrontal cortex abnormalities,indicates,Disease,Alzheimer's disease,背内侧前额叶皮层异常作为阿尔茨海默病的生物标志物
Risk_Factor,age,increases_risk_of,Disease,Alzheimer's disease,年龄是阿尔茨海默病的风险因素
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,cognitive decline,阿尔茨海默病导致认知功能下降
Protein,tau,accumulates_in,Brain_Region,brain,tau蛋白在大脑中异常堆积
Research_Method,structural MRI,processes,Brain_Region,structural matrix,结构磁共振成像用于生成结构矩阵
Research_Method,constrained spherical deconvolution-based tractography,adjusts,Brain_Region,atlas,基于约束球面反卷积的纤维束成像用于调整脑区图谱
Disease,Alzheimer's disease,is_associated_with,Pathological_Change,disruptions in brain activity,阿尔茨海默病与大脑活动的中断相关
Disease,Alzheimer's disease,affects,Brain_Region,subcortical structures,阿尔茨海默病主要影响皮层下结构
Disease,Alzheimer's disease,associated_with,Pathological_Change,white matter fiber loss,阿尔茨海默病与白质纤维丢失相关
Brain_Region,central executive network,affected_by,Disease,Alzheimer's disease,阿尔茨海默病会影响中央执行网络
Brain_Region,Default mode network,affected_by,Disease,Alzheimer's disease,阿尔茨海默病会影响默认模式网络
Disease,Alzheimer's disease,affects,Brain_Region,Default mode network (DMN),阿尔茨海默病主要影响默认模式网络
Imaging_Method,fMRI,detects,Pathological_Change,functional connectivity disturbances,功能磁共振成像检测到功能连接异常
