Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,Alzheimer's disease,has_biomarker,Biomarker,plasma inflammatory biomarker,血浆炎症生物标志物是阿尔茨海默病的生物标志物
<Disease,Alzheimer's disease,has_biomarker,Biomarker,episodic memory,阿尔茨海默病的生物标志物包括情景记忆>
Disease,Alzheimer's disease,has_biomarker,Biomarker,CSF,脑脊液是阿尔茨海默病的生物标志物
Disease,Alzheimer's disease,has_biomarker,Biomarker,lncRNA,长链非编码RNA用于阿尔茨海默病研究
Disease,Alzheimer's disease,has_risk_factor,Gene,APOE ε4,APOE ε4基因是阿尔茨海默病的重要风险因素
Disease,Alzheimer's disease,has_biomarker,Biomarker,immune response markers,免疫反应标志物用于阿尔茨海默病研究
Disease,Alzheimer's disease,has_biomarker,Biomarker,tau protein,阿尔茨海默病的核心病理标志物包括tau蛋白
Disease,Alzheimer's disease,has_biomarker,Biomarker,plasma Aβ,血浆Aβ是阿尔茨海默病的生物标志物
Disease,Alzheimer's disease,has_biomarker,Biomarker,18F-FDG-PET,18F-FDG-PET是阿尔茨海默病的生物标志物
<Disease,Alzheimer's disease,has_biomarker,Biomarker,latent AD pathophysiology,阿尔茨海默病的生物标志物包括潜在AD病理生理学>
<Disease,Alzheimer's disease,has_biomarker,Biomarker,controls,阿尔茨海默病的生物标志物包括对照组>
<Disease,Alzheimer's disease,has_biomarker,Biomarker,plasma Aβ 1-42/Aβ 1-40 ratio,阿尔茨海默病的生物标志物包括血浆Aβ 1-42/Aβ 1-40比值>
Disease,Alzheimer's disease,has_biomarker,Biomarker,amyloid PET,淀粉样蛋白PET用于阿尔茨海默病诊断
<Disease,Alzheimer's disease,has_biomarker,Biomarker,inflammatory biomarkers,阿尔茨海默病的生物标志物包括炎症标志物>
Clinical_Test,CSF analysis,detects,Biomarker,Aβ 1-42,脑脊液分析可检测Aβ 1-42
Disease,Alzheimer's disease,has_biomarker,Biomarker,blood tau pathology,血液tau病理用于阿尔茨海默病诊断
Disease,Alzheimer's disease,has_biomarker,Biomarker,blood metabolomic markers,血液代谢组学标志物用于阿尔茨海默病研究
Disease,Alzheimer's disease,has_biomarker,Biomarker,BACE-1,BACE-1是阿尔茨海默病的生物标志物
<Disease,Alzheimer's disease,has_biomarker,Biomarker,plasma Aβ 1-42,阿尔茨海默病的生物标志物包括血浆Aβ 1-42>
<Disease,Alzheimer's disease,has_biomarker,Biomarker,t-tau,阿尔茨海默病的生物标志物包括t-tau>
Biomarker,plasma neurofilament light chain,indicates,Pathological_Change,neurodegeneration,血浆神经丝轻链蛋白是神经退行性变的生物标志物
Disease,Alzheimer's disease,has_biomarker,Biomarker,CSF Aβ pathology,脑脊液Aβ病理用于阿尔茨海默病诊断
Disease,Alzheimer's disease,has_biomarker,Biomarker,plasma 18F-FDG-PET,血浆18F-FDG-PET是阿尔茨海默病的生物标志物
<Disease,Alzheimer's disease,has_biomarker,Biomarker,CSF p-tau,阿尔茨海默病的生物标志物包括脑脊液p-tau>
Disease,Alzheimer's disease,has_biomarker,Biomarker,blood CSF Aβ pathology,血液脑脊液Aβ病理用于阿尔茨海默病诊断
<Disease,Alzheimer's disease,has_biomarker,Biomarker,cognitive decline,阿尔茨海默病的生物标志物包括认知衰退>
Disease,Alzheimer's disease,has_biomarker,Biomarker,blood Aβ pathology,血液Aβ病理用于阿尔茨海默病诊断
Disease,Alzheimer's disease,has_biomarker,Biomarker,plasma Aβ 1-42,血浆Aβ 1-42是阿尔茨海默病的生物标志物
<Disease,Alzheimer's disease,has_biomarker,Biomarker,neurodegeneration biomarkers,阿尔茨海默病的生物标志物包括神经退行性变标志物>
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,APOE4,APOE4基因是阿尔茨海默病的风险因素
