Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,Alzheimer's disease,treated_by,Treatment,MK-4305 (suvorexant),MK-4305用于治疗阿尔茨海默病相关的失眠
Disease,Alzheimer's disease,treated_by,Treatment,BHV-4157 (troriluzole),BHV-4157用于治疗轻度至中度阿尔茨海默病
Research_Method,clinical trials,investigates,Treatment,neurotransmitter modification,临床试验研究神经递质调节
Treatment,aducanumab,slows,Clinical_Manifestation,cognitive decline,阿杜卡单抗减缓认知功能下降
Disease,Alzheimer's disease,involves,Pathological_Change,amyloid accumulation,阿尔茨海默病涉及淀粉样蛋白的积累
Treatment,AADvac1,targets,Protein,tau,AADvac1靶向tau蛋白
Gene,presenilin 2,associated_with,Disease,Alzheimer's disease,presenilin 2基因与阿尔茨海默病相关
Protein,tau,accumulates_in,Brain_Region,brain,tau蛋白在大脑中异常堆积
Treatment,Ginkgo biloba extract (GBE),affects,Protein,platelet-activating factor,银杏叶提取物影响血小板激活因子
Treatment,N-methyl-D-aspartate receptor antagonist,treats,Disease,Alzheimer's disease,NMDA受体拮抗剂用于治疗阿尔茨海默病
Treatment,GV-971,inhibits,Protein,amyloid-beta,GV-971抑制淀粉样蛋白
Treatment,RVT-101 (intepirdine),antagonizes,Protein,5-HT6 receptor,RVT-101拮抗5-HT6受体
Disease,Alzheimer's disease,involves,Pathological_Change,neuroinflammation,阿尔茨海默病涉及神经炎症
Disease,Alzheimer's disease,treated_by,Treatment,Ginkgo biloba extract (GBE),银杏叶提取物用于治疗轻度至中度阿尔茨海默病
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,behavioral psychological symptoms,阿尔茨海默病表现为行为心理症状
Treatment,ITI-007 (lumateperone),antagonizes,Protein,5-HT2A receptor,ITI-007拮抗5-HT2A受体
Disease,Alzheimer's disease,treated_by,Treatment,ITI-007 (lumateperone),ITI-007用于治疗阿尔茨海默病相关的躁动
Disease,MCI-AD,is_stage_of,Disease,Alzheimer's disease,MCI-AD是阿尔茨海默病的前驱阶段
Disease,Alzheimer's disease,treated_by,Treatment,Zagotenemab (LY3303560),Zagotenemab用于治疗轻度阿尔茨海默病
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,cognitive dysfunctions,阿尔茨海默病伴随其他认知功能障碍
Treatment,solanezumab,targets,Protein,amyloid-beta,solanezumab靶向淀粉样蛋白
Research_Method,clinical trials,investigates,Treatment,anti-neuroinflammation,临床试验研究抗神经炎症
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Clinical_Test,amyloid PET,detects,Biomarker,amyloid accumulation,淀粉样蛋白PET检测淀粉样蛋白积累
Disease,Alzheimer's disease,treated_by,Treatment,AADvac1,AADvac1用于治疗轻度阿尔茨海默病
Treatment,AXS-05,antagonizes,Protein,NMDA receptor,AXS-05拮抗NMDA受体
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,senile plaques,阿尔茨海默病的病理特征包括老年斑
Disease,Alzheimer's disease,affects,Brain_Region,nucleus basalis of Meynert,阿尔茨海默病影响Meynert基底核
Treatment,gantenerumab,targets,Protein,amyloid-beta,gantenerumab靶向淀粉样蛋白
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查评估认知功能
Treatment,EVP-6124,agonizes,Protein,α7 nicotinic acetylcholine receptor,EVP-6124激动α7烟碱型乙酰胆碱受体
Disease,Alzheimer's disease,affects,Brain_Region,anterior cingulate cortex,阿尔茨海默病影响前扣带皮层
Disease,mild dementia due to AD,is_stage_of,Disease,Alzheimer's disease,轻度痴呆是阿尔茨海默病的一个阶段
Disease,Alzheimer's disease,lacks,Treatment,effective drugs,阿尔茨海默病目前缺乏有效的治疗药物
Disease,Alzheimer's disease,treated_by,Treatment,AD-4833 (Pioglitazone),AD-4833用于治疗轻度阿尔茨海默病
Disease,Alzheimer's disease,accounts_for,Clinical_Manifestation,dementia,阿尔茨海默病占痴呆病例的60-70%
Treatment,aducanumab,shows_effect,Biomarker,amyloid removal,阿杜卡单抗显示淀粉样蛋白清除效果
Research_Method,phase 1 and 2 trials,targets,Pathological_Change,antineuroinflammation,一期和二期临床试验靶向抗神经炎症
Disease,Alzheimer's disease,treated_by,Treatment,EVP-6124,EVP-6124用于治疗轻度至中度阿尔茨海默病
Disease,Alzheimer's disease,affects,Brain_Region,frontal cortex,阿尔茨海默病影响额叶皮层
Treatment,BHV-4157 (troriluzole),modulates,Protein,glutamate,BHV-4157调节谷氨酸水平
Clinical_Test,CDR,evaluates,Clinical_Manifestation,cognitive function,临床痴呆评定量表评估认知功能
Gene,presenilin 1,associated_with,Disease,Alzheimer's disease,presenilin 1基因与阿尔茨海默病相关
