Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,Alzheimer's disease,has_research_method,Research_Method,summary meta-analysis,阿尔茨海默病的研究方法包括总结荟萃分析
Disease,Alzheimer's disease,has_research_method,Research_Method,mitochondrial dysfunction assessment,阿尔茨海默病的研究方法包括线粒体功能障碍评估
Disease,Alzheimer's disease,has_research_method,Research_Method,ATP production analysis,阿尔茨海默病的研究方法包括ATP生产分析
Disease,Alzheimer's disease,has_biomarker,Biomarker,complex IV,阿尔茨海默病与复合物IV的异常有关
Disease,Alzheimer's disease,affects,Brain_Region,occipital cortex,阿尔茨海默病影响枕叶皮层的功能
Disease,Alzheimer's disease,affects,Brain_Region,substantia nigra,阿尔茨海默病影响黑质
Disease,Alzheimer's disease,has_research_method,Research_Method,pre-analysis,阿尔茨海默病的研究方法包括预分析
Disease,Alzheimer's disease,has_research_method,Research_Method,multivariate random-effect meta-analyses,阿尔茨海默病的研究方法包括多变量随机效应荟萃分析
Protein,complex IV,is_affected_by,Disease,Parkinson's disease,复合物IV在帕金森病中受到影响
Disease,Alzheimer's disease,has_research_method,Research_Method,structured literature search,阿尔茨海默病的研究方法包括结构化文献检索
Disease,Alzheimer's disease,has_commonality_with,Disease,bipolar disorder,阿尔茨海默病与双相情感障碍在分子病理上有共同点
Disease,Alzheimer's disease,affects,Brain_Region,temporal/entorhinal cortex,阿尔茨海默病影响颞叶/内嗅皮层的功能
Disease,Alzheimer's disease,has_research_method,Research_Method,moderator variable analysis,阿尔茨海默病的研究方法包括调节变量分析
Disease,Alzheimer's disease,has_research_method,Research_Method,oxidative phosphorylation analysis,阿尔茨海默病的研究方法包括氧化磷酸化分析
Disease,Alzheimer's disease,has_research_method,Research_Method,robust deficits analysis,阿尔茨海默病的研究方法包括稳健缺陷分析
Disease,Alzheimer's disease,has_research_method,Research_Method,forest plot analysis,阿尔茨海默病的研究方法包括森林图分析
Disease,Parkinson's disease,affects,Brain_Region,substantia nigra,帕金森病影响黑质
Disease,Alzheimer's disease,analysed_in,Research_Method,postmortem brain samples,阿尔茨海默病在死后脑样本中进行分析
Disease,Alzheimer's disease,has_research_method,Research_Method,commonality assessment,阿尔茨海默病的研究方法包括共性评估
Disease,Alzheimer's disease,has_research_method,Research_Method,heterogeneity assessment,阿尔茨海默病的研究方法包括异质性评估
Clinical_Test,meta-analysis,analyzes,Biomarker,complex IV,元分析用于分析复合物IV
Disease,Alzheimer's disease,has_treatment,Treatment,ABAD modulators,阿尔茨海默病的治疗包括ABAD调节剂
Disease,Alzheimer's disease,has_biomarker,Biomarker,amyloid β peptide,阿尔茨海默病的生物标志物是淀粉样β肽
Disease,Alzheimer's disease,has_research_method,Research_Method,REML method,阿尔茨海默病的研究方法包括REML方法
Disease,Alzheimer's disease,affects,Brain_Region,cerebellum,阿尔茨海默病影响小脑
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病的主要症状是记忆力丧失
Disease,Alzheimer's disease,has_biomarker,Biomarker,complex I,阿尔茨海默病与复合物I的异常有关
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,aging,年龄是阿尔茨海默病的风险因素
Disease,Alzheimer's disease,analysed_in,Research_Method,peripheral blood elements,阿尔茨海默病在外周血元素中进行分析
