Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,Alzheimer's disease,has_biomarker,Biomarker,mitochondrial size,线粒体大小是阿尔茨海默病的生物标志物
Protein,Aβ,affects,Pathological_Change,mitochondrial Bcl-xL/Bax ratio alteration,Aβ蛋白的积累改变线粒体Bcl-xL/Bax比例
Protein,Tau,affects,Pathological_Change,mitochondrial PINK1/parkin localization disruption,Tau蛋白的异常形式破坏线粒体PINK1/parkin定位
Disease,Alzheimer's disease,has_biomarker,Biomarker,superoxide dismutase,超氧化物歧化酶是阿尔茨海默病的生物标志物
Protein,Aβ,affects,Pathological_Change,mitochondrial ROS production increase,Aβ蛋白的积累增加线粒体ROS产生
Protein,Aβ,affects,Pathological_Change,mitochondrial dysfunction,Aβ蛋白的积累导致线粒体功能障碍
Protein,Tau,affects,Pathological_Change,mitochondrial membrane potential disruption,Tau蛋白的异常形式破坏线粒体膜电位
Protein,Aβ,affects,Pathological_Change,mitochondrial membrane potential disruption,Aβ蛋白的积累破坏线粒体膜电位
Research_Method,exercise,reduces,Pathological_Change,Aβ plaque area,运动减少Aβ斑块面积
Treatment,PINK1 overexpression,enhances,Protein,autophagy signaling,PINK1过表达增强自噬信号
Research_Method,exercise,promotes,Protein,mitophagy,运动促进线粒体自噬
Protein,LC3,binds_to,Protein,NDP52,LC3蛋白与NDP52蛋白结合
Treatment,UMI-77,promotes,Protein,mitophagy,UMI-77促进线粒体自噬
Disease,Alzheimer's disease,has_biomarker,Biomarker,p62,p62蛋白是阿尔茨海默病的生物标志物
Protein,Tau,affects,Pathological_Change,oxidative stress,Tau蛋白的异常形式增加氧化应激
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,Aβ aggregation,阿尔茨海默病与Aβ聚集相关
Protein,Aβ,affects,Pathological_Change,mitochondrial PINK1/parkin ubiquitination impairment,Aβ蛋白的积累损害线粒体PINK1/parkin泛素化
Research_Method,exercise,increases,Protein,synaptic markers,运动增加突触标志物水平
Treatment,parkin overexpression,restores,Protein,mitochondrial parkin,parkin过表达恢复线粒体parkin水平
Protein,Aβ,affects,Pathological_Change,mitochondrial biogenesis impairment,Aβ蛋白的积累损害线粒体生物合成
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会影响海马体区域
