Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Treatment,IIV,reduces,Immune_Response,anti-inflammatory cytokines,IIV治疗减少抗炎细胞因子
Treatment,IIV,modulates,Immune_Response,immune microenvironment,IIV治疗调节免疫微环境
Treatment,IIV,enhances,Protein,chemokine expression,IIV治疗增强趋化因子表达
Treatment,IIV,decreases,Cell,Tregs,IIV治疗减少调节性T细胞
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Imaging_Method,flow cytometry,analyzes,Biomarker,Treg cells,流式细胞术分析调节性T细胞比例
Treatment,IIV,affects,Immune_Response,leukocyte migration,IIV治疗影响白细胞迁移
Treatment,IIV,rebalances,Immune_Response,immune milieu,IIV治疗重新平衡免疫环境
Research_Method,ELISA,measures,Biomarker,IL-10 levels,ELISA用于测量IL-10水平
Protein,IL-10,produced_by,Biomarker,CD4+ T cells,IL-10由CD4+ T细胞产生
Treatment,ATRA,increases,Cell,Tregs,ATRA治疗增加调节性T细胞
Cell,Tregs,regulates,Pathological_Change,immune suppression,Tregs调节免疫抑制
Treatment,IIV,induces,Immune_Response,new homeostasis,IIV治疗诱导新的免疫平衡
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,cognitive impairment,阿尔茨海默病表现为认知功能障碍
Cell,microglia,engulfs,Protein,Aβ plaques,小胶质细胞吞噬Aβ斑块
Treatment,Bacillus Calmette-Guerin,improves,Clinical_Manifestation,cognitive deficits,卡介苗改善认知功能缺陷
Treatment,IIV,boosts,Immune_Response,proinflammatory cytokines,IIV治疗增加促炎细胞因子
Biomarker,CD68,indicates,Pathological_Change,microglial phagocytosis,CD68标志物指示小胶质细胞吞噬作用
Imaging_Method,immunohistochemistry,detects,Pathological_Change,Aβ plaques,免疫组化检测淀粉样蛋白斑块
Treatment,IIV,ameliorates,Disease,Alzheimer's disease,IIV治疗改善阿尔茨海默病症状
Treatment,IIV,alters,Protein,cytokine profiles,IIV治疗改变细胞因子谱
Cytokine,IL-10,associated_with,Pathological_Change,immune milieu,IL-10与免疫环境相关
Clinical_Test,Morris water maze,assesses,Clinical_Manifestation,spatial learning and memory,莫里斯水迷宫用于评估空间学习和记忆能力
Treatment,all-trans retinoic acid,restores,Biomarker,Treg levels,全反式维甲酸恢复调节性T细胞水平
Brain_Region,hippocampus,affected_by,Pathological_Change,Aβ plaque deposition,海马体受到Aβ斑块沉积影响
