Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Treatment,resveratrol,has_effect_on,Disease,Alzheimer's disease,白藜芦醇具有抗氧化和抗炎作用，对阿尔茨海默病有益
Treatment,immunotherapy,targets,Protein,amyloid-beta,免疫疗法针对淀粉样蛋白进行治疗
Treatment,quercetin,reduces,Pathological_Change,protein oxidation,槲皮素减少蛋白质氧化
Treatment,nasal powders,enhances,Treatment,drug delivery,鼻粉剂增强药物递送
Treatment,nasal drug administration,transports_to,Brain_Region,brain,鼻内给药可以直接将药物输送到大脑
Pathological_Change,NLRP3 inflammasome activation,associated_with,Disease,Alzheimer's disease,NLRP3炎症小体激活与阿尔茨海默病相关
Treatment,nanoemulsions,exhibits,Clinical_Test,higher antioxidant activity,纳米乳剂显示出更高的抗氧化活性
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,brain atrophy,阿尔茨海默病导致弥漫性脑萎缩
Risk_Factor,obesity,contributes_to,Disease,Alzheimer's disease,肥胖是阿尔茨海默病的风险因素
Clinical_Test,MMSE,evaluates,Clinical_Manifestation,cognitive function,简易精神状态检查用于评估认知功能
Risk_Factor,oxidative stress,contributes_to,Disease,Alzheimer's disease,氧化应激是阿尔茨海默病的风险因素
Pathological_Change,neurofibrillary tangles,associated_with,Disease,Alzheimer's disease,神经纤维缠结与阿尔茨海默病相关
Treatment,antioxidants,has_effect_on,Disease,Alzheimer's disease,抗氧化剂对阿尔茨海默病有益
Treatment,nanosystems,enhances,Treatment,drug delivery,纳米系统增强药物递送
Clinical_Stage,severe AD,treated_with,Treatment,NMDA receptor antagonists,重度阿尔茨海默病使用NMDA受体拮抗剂治疗
Risk_Factor,APOE4,increases_risk_of,Disease,Alzheimer's disease,APOE4基因是阿尔茨海默病的重要风险因素
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,tau tangles,阿尔茨海默病与tau蛋白缠结相关
Treatment,immunotherapy,targets,Protein,tau,免疫疗法针对tau蛋白进行治疗
Protein,amyloid-beta,inhibited_by,Treatment,quercetin,槲皮素抑制淀粉样蛋白的聚集
Treatment,NLC,shows,Clinical_Test,higher drug distribution in brain,纳米结构脂质载体显示出更高的脑内药物分布
Treatment,interstitial fluid,enhances,Treatment,drug delivery,间质液增强药物递送
Pathological_Change,amyloid plaques,associated_with,Disease,Alzheimer's disease,淀粉样斑块与阿尔茨海默病相关
Imaging_Method,MRI,detects,Pathological_Change,brain atrophy,核磁共振可以检测到脑萎缩情况
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,neuroinflammation,神经炎症是阿尔茨海默病的风险因素
Treatment,naringenin,has_effect,Clinical_Manifestation,anti-inflammatory effects,柚皮素具有抗炎作用
Clinical_Stage,moderate AD,treated_with,Treatment,NMDA receptor antagonists,中度阿尔茨海默病使用NMDA受体拮抗剂治疗
Treatment,perineural channels,enhances,Treatment,drug delivery,神经周围通道增强药物递送
Treatment,brainstem,enhances,Treatment,drug delivery,脑干增强药物递送
Treatment,olfactory nerve pathway,enhances,Treatment,drug delivery,嗅神经通路增强药物递送
Protein,amyloid-beta,aggregates_in,Brain_Region,brain,淀粉样蛋白在大脑中聚集
Treatment,NLC,shows,Clinical_Test,higher drug uptake in brain,纳米结构脂质载体在脑内显示出更高的药物摄取
Treatment,donepezil,treats,Disease,Alzheimer's disease,多奈哌齐是治疗阿尔茨海默病的药物
Disease,Alzheimer's disease,treated_by,Treatment,NLC,纳米结构脂质载体用于改善阿尔茨海默病的治疗
Risk_Factor,traumatic brain injury,contributes_to,Disease,Alzheimer's disease,创伤性脑损伤是阿尔茨海默病的风险因素
Treatment,nanoemulsions,shows,Clinical_Test,absence of nasal ciliotoxicity,纳米乳剂显示出无鼻纤毛毒性
Treatment,proteins,enhances,Treatment,drug delivery,蛋白质增强药物递送
Treatment,memantine,treats,Disease,Alzheimer's disease,美金刚是NMDA受体拮抗剂，用于治疗阿尔茨海默病
Research_Method,in situ hydrogels,enhances,Treatment,drug delivery,原位水凝胶用于增强药物递送
Disease,Alzheimer's disease,treated_by,Treatment,naringenin,柚皮素用于阿尔茨海默病的治疗
Treatment,nose-to-brain delivery,enhances,Treatment,drug delivery,鼻-脑递送增强药物递送
Treatment,NMDA receptor antagonists,inhibits,Protein,NMDA receptor,NMDA受体拮抗剂抑制NMDA受体活性
Treatment,donepezil,inhibits,Protein,acetylcholinesterase,多奈哌齐抑制乙酰胆碱酯酶
Disease,Alzheimer's disease,treated_by,Treatment,nasal drug administration,鼻内给药是治疗阿尔茨海默病的一种方法
Protein,amyloid-beta,accumulates_in,Brain_Region,brain,淀粉样蛋白在大脑中异常堆积
Disease,Alzheimer's disease,treated_by,Treatment,pioglitazone,吡格列酮用于阿尔茨海默病的治疗
Treatment,thermosensitive polymers,enhances,Treatment,drug delivery,热敏聚合物增强药物递送
Treatment,CSF,enhances,Treatment,drug delivery,脑脊液增强药物递送
Treatment,nanoemulsions,shows,Clinical_Test,higher drug uptake in brain,纳米乳剂在脑内显示出更高的药物摄取
Treatment,nanoemulsions,improves,Treatment,drug bioavailability,纳米乳剂可以提高药物的生物利用度
Treatment,quercetin,reduces,Pathological_Change,lipid peroxidation,槲皮素减少脂质过氧化
Treatment,rivastigmine,treats,Disease,Alzheimer's disease,利斯的明用于治疗轻度至中度阿尔茨海默病
Treatment,trigeminal nerve pathway,enhances,Treatment,drug delivery,三叉神经通路增强药物递送
Treatment,NLC,shows,Clinical_Test,higher ex vivo permeation,纳米结构脂质载体显示出更高的体外渗透性
Gene,APOE,increases_risk_of,Disease,Alzheimer's disease,APOE基因是阿尔茨海默病的重要风险因素
Treatment,in situ hydrogels,enhances,Treatment,drug delivery,原位水凝胶增强药物递送
Treatment,NLC,improves,Clinical_Test,drug bioavailability in brain,纳米结构脂质载体提高了脑内药物的生物利用度
Treatment,NLC,shows,Clinical_Test,no mortality or morphological changes,纳米结构脂质载体显示出无死亡或形态学变化
Treatment,galantamine,treats,Disease,Alzheimer's disease,加兰他敏用于治疗阿尔茨海默病的认知症状
Treatment,cribriform plate,enhances,Treatment,drug delivery,筛板增强药物递送
Treatment,nanoemulsions,shows,Clinical_Test,higher ex vivo permeation,纳米乳剂显示出更高的体外渗透性
Treatment,nanoemulsions,enhances,Treatment,drug delivery,纳米乳剂可以增强药物输送
Treatment,nanoemulsions,improves,Clinical_Test,drug bioavailability in brain,纳米乳剂提高了脑内药物的生物利用度
Treatment,nasal drug administration,avoids,Brain_Region,blood-brain barrier,鼻内给药可以避免药物通过血脑屏障
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,genetic alterations,基因改变是阿尔茨海默病的风险因素
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,synaptic loss,阿尔茨海默病导致突触丧失
Treatment,resveratrol,has_effect,Clinical_Manifestation,neuroprotective effects,白藜芦醇具有神经保护作用
Treatment,fat-soluble vitamins,has_effect_on,Disease,Alzheimer's disease,脂溶性维生素对阿尔茨海默病有益
Treatment,anti-inflammatory agents,has_effect_on,Disease,Alzheimer's disease,抗炎剂对阿尔茨海默病有益
Research_Method,nanoemulsions,enhances,Treatment,drug delivery,纳米乳剂用于增强药物递送
Treatment,extraneuronal pathway,enhances,Treatment,drug delivery,神经元外通路增强药物递送
Clinical_Stage,mild AD,treated_with,Treatment,AChE inhibitors,轻度阿尔茨海默病使用乙酰胆碱酯酶抑制剂治疗
Treatment,rivastigmine,inhibits,Protein,acetylcholinesterase,利斯的明抑制乙酰胆碱酯酶
Research_Method,NLC,enhances,Treatment,drug delivery,纳米结构脂质载体用于增强药物递送
Treatment,NLC,improves,Treatment,drug bioavailability,纳米结构脂质载体可以提高药物的生物利用度
Treatment,NLC,shows,Clinical_Test,absence of nasal ciliotoxicity,纳米结构脂质载体显示出无鼻纤毛毒性
Treatment,curcumin,has_effect_on,Disease,Alzheimer's disease,姜黄素具有抗氧化和抗炎作用，对阿尔茨海默病有益
Treatment,olfactory bulb,enhances,Treatment,drug delivery,嗅球增强药物递送
Treatment,carotenoids,has_effect_on,Disease,Alzheimer's disease,类胡萝卜素对阿尔茨海默病有益
Treatment,NLC,exhibits,Clinical_Test,higher antioxidant activity,纳米结构脂质载体显示出更高的抗氧化活性
Pathological_Change,synapse phagocytosis,associated_with,Disease,Alzheimer's disease,突触吞噬与阿尔茨海默病相关
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,amyloid plaques,阿尔茨海默病与淀粉样斑块形成相关
Disease,Alzheimer's disease,affects,Brain_Region,brain,阿尔茨海默病导致大脑神经元损伤
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,unbalanced diet,不均衡饮食是阿尔茨海默病的风险因素
Disease,Alzheimer's disease,treated_by,Treatment,memantine,美金刚用于阿尔茨海默病的治疗
Risk_Factor,systemic inflammation,contributes_to,Disease,Alzheimer's disease,系统性炎症是阿尔茨海默病的风险因素
Treatment,biomolecules,enhances,Treatment,drug delivery,生物分子增强药物递送
Disease,Alzheimer's disease,treated_by,Treatment,resveratrol,白藜芦醇用于阿尔茨海默病的治疗
Treatment,NLC,used_for,Disease,Alzheimer's disease,纳米结构脂质载体用于治疗阿尔茨海默病
Treatment,quercetin,reduces,Pathological_Change,neuronal cell death,槲皮素减少神经元细胞死亡
Treatment,nasal sprays,enhances,Treatment,drug delivery,鼻喷雾剂增强药物递送
Treatment,nanoemulsions,shows,Clinical_Test,no mortality or morphological changes,纳米乳剂显示出无死亡或形态学变化
Pathological_Change,tau hyperphosphorylation,associated_with,Disease,Alzheimer's disease,tau蛋白过度磷酸化与阿尔茨海默病相关
Treatment,NLC,enhances,Treatment,drug delivery,纳米结构脂质载体可以增强药物输送
Treatment,NLC,enhances,Treatment,drug delivery,纳米结构脂质载体增强药物递送
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病初期表现为短期记忆丧失
Treatment,lipid-based nanosystems,enhances,Treatment,drug delivery,脂质基纳米系统增强药物递送
Clinical_Stage,moderate AD,treated_with,Treatment,AChE inhibitors,中度阿尔茨海默病使用乙酰胆碱酯酶抑制剂治疗
Treatment,perivascular spaces,enhances,Treatment,drug delivery,血管周围空间增强药物递送
Treatment,isothiocyanates,has_effect_on,Disease,Alzheimer's disease,异硫氰酸盐对阿尔茨海默病有益
Disease,Alzheimer's disease,treated_by,Treatment,nanoemulsions,纳米乳剂用于改善阿尔茨海默病的治疗
Disease,Alzheimer's disease,treated_by,Treatment,rivastigmine,利斯的明用于阿尔茨海默病的治疗
Treatment,lymphatic channels,enhances,Treatment,drug delivery,淋巴通道增强药物递送
Treatment,omega-3 fatty acids,has_effect_on,Disease,Alzheimer's disease,omega-3脂肪酸对阿尔茨海默病有益
Treatment,intraneuronal pathway,enhances,Treatment,drug delivery,神经元内通路增强药物递送
