Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Disease,Mild Cognitive Impairment,has_symptom,Clinical_Manifestation,cognitive impairment,轻度认知障碍的主要症状是认知功能下降
Disease,Alzheimer's disease,classified_by,Research_Method,gait features,阿尔茨海默病通过步态特征进行分类
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,slower gait speed,阿尔茨海默病的症状包括步速减慢
Clinical_Test,Lawton Instrumental Activities of Daily Living,evaluates,Clinical_Manifestation,instrumental activities of daily living,Lawton工具性日常生活活动量表用于评估工具性日常生活活动能力
Disease,Alzheimer's disease,classified_by,Clinical_Test,TMT-B,阿尔茨海默病通过轨迹制作测试B部分进行分类
Disease,Alzheimer's disease,has_clinical_stage,Clinical_Stage,MCI,轻度认知障碍是阿尔茨海默病的早期阶段
Disease,Alzheimer's disease,classified_by,Clinical_Test,CDT,阿尔茨海默病通过钟表绘制测试进行分类
Disease,Alzheimer's disease,associated_with,Pathological_Change,medial temporal lobe atrophy,阿尔茨海默病与内侧颞叶萎缩相关
Disease,Alzheimer's disease,has_biomarker,Biomarker,tau,阿尔茨海默病的生物标志物包括tau蛋白
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,APOE4 gene,APOE4基因是阿尔茨海默病的风险因素
Disease,Alzheimer's disease,has_research_method,Research_Method,SVM with RBF kernel,支持向量机与径向基函数核用于阿尔茨海默病的研究
Disease,MCI,has_clinical_test,Clinical_Test,MMSE,简易精神状态检查用于评估轻度认知障碍
Disease,Alzheimer's disease,affects,Brain_Region,medial temporal lobe,阿尔茨海默病会影响内侧颞叶
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,memory loss,阿尔茨海默病的主要症状是记忆力丧失
Imaging_Method,MRI,detects,Pathological_Change,medial temporal lobe atrophy,核磁共振成像可以检测到内侧颞叶萎缩
Disease,MCI,has_imaging_method,Imaging_Method,MRI,核磁共振用于检测轻度认知障碍的脑部变化
Disease,Alzheimer's disease,has_clinical_manifestation,Clinical_Manifestation,slower drawing speed,阿尔茨海默病患者的绘图速度较慢
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,brain atrophy,阿尔茨海默病会导致脑萎缩
Clinical_Test,Barthel Index,evaluates,Clinical_Manifestation,activities of daily living,Barthel指数用于评估日常生活活动能力
Disease,Alzheimer's disease,associated_with,Clinical_Manifestation,activity of daily living impairment,阿尔茨海默病与日常生活活动能力受损相关
Disease,MCI,has_pathological_change,Pathological_Change,brain atrophy,轻度认知障碍会导致脑萎缩
Clinical_Test,Trail Making Test,evaluates,Clinical_Manifestation,executive function,连线测试用于评估执行功能
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,drawing impairments,阿尔茨海默病的症状包括绘画能力下降
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,age,年龄是阿尔茨海默病的风险因素
Disease,Alzheimer's disease,has_imaging_method,Imaging_Method,MRI,核磁共振用于检测阿尔茨海默病的脑部变化
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会影响海马体
Disease,Alzheimer's disease,associated_with,Clinical_Manifestation,cognitive decline,阿尔茨海默病与认知功能下降相关
Disease,Alzheimer's disease,has_clinical_manifestation,Clinical_Manifestation,slower gait speed,阿尔茨海默病患者步态速度较慢
Disease,Alzheimer's disease,classified_by,Clinical_Test,LM-IA,阿尔茨海默病通过逻辑记忆故事A即时回忆测试进行分类
Disease,Alzheimer's disease,classified_by,Clinical_Test,FAB,阿尔茨海默病通过额叶评估电池测试进行分类
Disease,MCI,has_research_method,Research_Method,SVM with RBF kernel,支持向量机与径向基函数核用于轻度认知障碍的研究
Clinical_Test,Wechsler Memory Scale-Revised,evaluates,Clinical_Manifestation,episodic memory,韦氏记忆量表修订版用于评估情景记忆
Disease,Alzheimer's disease,associated_with,Clinical_Manifestation,instrumental activity of daily living impairment,阿尔茨海默病与工具性日常生活活动能力受损相关
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,gait variability,阿尔茨海默病的症状包括步态变异性增加
Disease,Alzheimer's disease,associated_with,Clinical_Manifestation,depression,阿尔茨海默病与抑郁相关
Disease,Alzheimer's disease,classified_by,Research_Method,drawing features,阿尔茨海默病通过绘图特征进行分类
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,increased pauses in speech,阿尔茨海默病的症状包括言语中的停顿增加
Disease,MCI,has_treatment,Treatment,donepezil,多奈哌齐是治疗轻度认知障碍的药物
Disease,Alzheimer's disease,has_treatment,Treatment,donepezil,多奈哌齐是治疗阿尔茨海默病的药物
Disease,MCI,has_clinical_manifestation,Clinical_Manifestation,shorter step length,轻度认知障碍患者的步长较短
Disease,Alzheimer's disease,associated_with,Clinical_Manifestation,memory loss,阿尔茨海默病与记忆力丧失相关
Disease,MCI,has_clinical_manifestation,Clinical_Manifestation,longer pause duration,轻度认知障碍患者的绘图停顿时间较长
Disease,MCI,has_clinical_manifestation,Clinical_Manifestation,greater pressure variability,轻度认知障碍患者的绘图压力变异性较大
Disease,MCI,has_clinical_manifestation,Clinical_Manifestation,longer task duration,轻度认知障碍患者的任务持续时间较长
Disease,Alzheimer's disease,classified_by,Research_Method,speech features,阿尔茨海默病通过语音特征进行分类
Disease,MCI,has_clinical_manifestation,Clinical_Manifestation,lower peak gait speed,轻度认知障碍患者的峰值步态速度较低
Disease,Alzheimer's disease,classified_by,Imaging_Method,MRI,阿尔茨海默病通过核磁共振成像进行分类
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,speech impairments,阿尔茨海默病的症状包括语言障碍
Clinical_Test,Frontal Assessment Battery,evaluates,Clinical_Manifestation,executive function,额叶评估电池用于评估执行功能
Clinical_Test,Geriatric Depression Scale,evaluates,Clinical_Manifestation,depression,老年抑郁量表用于评估抑郁症状
Disease,Alzheimer's disease,has_clinical_manifestation,Clinical_Manifestation,lower MFCC1,阿尔茨海默病患者的语音特征MFCC1较低
Disease,Alzheimer's disease,classified_by,Clinical_Test,MMSE,阿尔茨海默病通过简易精神状态检查进行分类
Disease,Alzheimer's disease,classified_by,Clinical_Test,LM-IIA,阿尔茨海默病通过逻辑记忆故事A延迟回忆测试进行分类
Disease,Alzheimer's disease,has_biomarker,Biomarker,amyloid-beta,阿尔茨海默病的生物标志物包括淀粉样蛋白
Disease,Alzheimer's disease,has_clinical_test,Clinical_Test,MMSE,简易精神状态检查用于评估阿尔茨海默病
Clinical_Test,Clock Drawing Test,evaluates,Clinical_Manifestation,visuospatial function,画钟测试用于评估视觉空间功能
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,genetic factors,遗传因素是阿尔茨海默病的风险因素
Clinical_Test,Mini-Mental State Examination,evaluates,Clinical_Manifestation,global cognition,简易精神状态检查用于评估整体认知功能
Disease,Alzheimer's disease,classified_by,Clinical_Test,TMT-A,阿尔茨海默病通过轨迹制作测试A部分进行分类
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,reduced drawing speed,阿尔茨海默病的症状包括绘画速度减慢
