Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Clinical_Test,MMSE,correlates_with,Clinical_Manifestation,cognitive impairment,简易精神状态检查评分与认知功能障碍相关
Disease,Alzheimer's disease,has_biomarker,Biomarker,β-amyloid protein,β-淀粉样蛋白是阿尔茨海默病的生物标志物
Disease,Alzheimer's disease,associated_with,Clinical_Test,Mini-Mental State Examination,阿尔茨海默病与简易精神状态检查评分相关
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,neuronal death,神经元死亡是阿尔茨海默病的病理改变
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,hypoxia,缺氧是阿尔茨海默病的病理改变
Disease,Alzheimer's disease,has_treatment,Treatment,MEOX-2,血管限制性间充质同源框2基因是阿尔茨海默病的潜在治疗方法
Disease,Alzheimer's disease,has_treatment,Treatment,HIF-1α,缺氧诱导因子1α是阿尔茨海默病的潜在治疗方法
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,reduced cerebral blood flow,脑血流量减少是阿尔茨海默病的病理改变
Disease,Alzheimer's disease,has_biomarker,Biomarker,hyperphosphorylated tau protein,过度磷酸化的tau蛋白是阿尔茨海默病的生物标志物
Protein,LRP-1,decreased_in,Disease,Alzheimer's disease,LRP-1在阿尔茨海默病中表达降低
Treatment,EPCs,reduces,Pathological_Change,p-tau levels,EPCs治疗减少磷酸化tau蛋白水平
Disease,Alzheimer's disease,associated_with,Biomarker,leptin plasma levels,阿尔茨海默病与血浆瘦素水平降低相关
Disease,Alzheimer's disease,has_treatment,Treatment,VEGF,血管内皮生长因子是阿尔茨海默病的潜在治疗方法
Disease,Alzheimer's disease,associated_with,Biomarker,CFU-EC colony formation,阿尔茨海默病与CFU-EC集落形成减少相关
Disease,Alzheimer's disease,has_research_method,Research_Method,immunostaining,免疫染色是阿尔茨海默病的研究方法
Disease,Alzheimer's disease,has_risk_factor,Risk_Factor,diabetes,糖尿病是阿尔茨海默病的风险因素
Disease,Alzheimer's disease,has_treatment,Treatment,leukocyte adhesion molecules,白细胞粘附分子是阿尔茨海默病的潜在治疗方法
Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,cognitive impairment,阿尔茨海默病会导致认知功能受损
<Research_Method,EPCs transplantation,improves,Clinical_Manifestation,learning and memory,EPCs移植改善学习和记忆>
<Treatment,EPCs transplantation,treats,Disease,Alzheimer's disease,EPCs移植治疗阿尔茨海默病>
Disease,Alzheimer's disease,has_research_method,Research_Method,electron microscopy,电子显微镜是阿尔茨海默病的研究方法
Disease,Alzheimer's disease,has_treatment,Treatment,cholinergic neurons,胆碱能神经元是阿尔茨海默病的潜在治疗方法
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,BBB leakage,血脑屏障渗漏是阿尔茨海默病的病理改变
<Disease,Alzheimer's disease,has_symptom,Clinical_Manifestation,cognitive impairment,阿尔茨海默病伴随认知障碍>
Disease,Alzheimer's disease,affects,Brain_Region,hippocampus,阿尔茨海默病会影响海马体
Treatment,EPCs,up-regulates,Pathological_Change,tight junctions,EPCs治疗上调紧密连接蛋白的表达
Disease,Alzheimer's disease,has_research_method,Research_Method,postmortem brain tissue analysis,死后脑组织分析是阿尔茨海默病的研究方法
Disease,Alzheimer's disease,associated_with,Biomarker,Aβ 1-42 levels,阿尔茨海默病与脑脊液中Aβ 1-42水平相关
Protein,RAGE,increased_in,Disease,Alzheimer's disease,RAGE在阿尔茨海默病中表达增加
